Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,24.05,2.13,0.0,67.69,14.81,18.73,31.06,94.76
2020,2,24.42,1.23,0.15,65.56,15.19,18.98,31.08,94.88
2020,3,23.11,1.62,0.02,61.44,18.73,16.43,31.65,94.8
2020,4,22.02,1.9,0.0,58.06,17.75,14.87,31.26,94.66
2020,5,22.46,2.31,0.0,61.94,14.73,14.35,30.77,94.66
2020,6,23.77,3.06,0.0,65.06,12.35,17.41,30.61,94.83
2020,7,25.11,2.41,0.0,66.19,16.05,19.38,32.12,94.78
2020,8,25.08,1.95,0.0,65.62,13.4,19.42,32.15,94.67
2020,9,24.57,1.47,0.0,65.69,16.59,18.43,31.91,94.68
2020,10,24.41,3.02,0.0,60.75,13.02,19.08,31.29,94.71
2020,11,23.98,2.51,0.0,60.81,13.88,18.95,31.1,94.84
2020,12,22.93,2.26,0.0,57.62,15.47,17.12,30.42,94.78
2020,13,23.53,0.77,0.0,48.19,18.92,16.89,31.8,94.6
2020,14,23.44,0.76,0.0,55.12,18.27,15.71,31.83,94.53
2020,15,22.58,2.09,0.0,53.75,19.15,14.94,31.97,94.57
2020,16,22.35,1.29,0.0,56.88,17.5,15.08,30.75,94.59
2020,17,22.81,1.31,0.01,54.31,19.67,14.6,31.34,94.61
2020,18,23.87,1.68,1.42,58.56,18.66,15.77,32.36,94.62
2020,19,24.75,1.13,0.0,57.5,18.18,17.45,32.28,94.68
2020,20,25.7,1.67,0.0,51.0,17.82,18.08,33.1,94.73
2020,21,25.23,2.55,0.0,47.75,18.44,18.54,32.85,94.82
2020,22,23.69,3.13,0.0,46.31,19.57,16.4,32.86,94.91
2020,23,23.8,2.95,0.0,48.69,20.22,17.04,32.91,94.85
2020,24,23.69,2.36,0.0,43.62,20.21,15.39,33.3,94.84
2020,25,24.33,1.77,0.0,38.94,19.82,15.79,34.15,94.8
2020,26,25.02,1.34,0.0,38.62,20.07,17.04,34.34,94.69
2020,27,25.71,2.73,0.0,44.38,19.74,17.41,35.01,94.6
2020,28,24.26,2.79,0.0,59.69,17.83,17.4,32.82,94.62
2020,29,23.43,2.09,0.0,55.62,21.59,15.91,32.9,94.76
2020,30,24.04,1.64,0.0,47.69,21.42,15.23,34.23,94.71
