Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,22.9,2.45,0.05,74.44,12.02,18.3,29.42,92.01
2020,2,23.45,2.33,0.0,73.0,14.78,18.7,29.94,92.09
2020,3,23.88,1.84,0.0,72.0,18.09,18.42,30.83,92.01
2020,4,24.38,1.39,0.0,72.06,17.15,19.2,30.59,91.85
2020,5,24.15,1.85,0.0,74.19,16.97,19.69,30.87,91.83
2020,6,23.65,3.26,0.13,72.31,13.93,19.44,30.03,92.0
2020,7,22.47,3.05,0.04,70.75,17.87,17.27,29.89,92.02
2020,8,22.33,1.88,0.01,69.06,20.64,16.76,30.11,91.94
2020,9,22.58,1.73,0.0,69.06,19.45,16.62,30.77,91.92
2020,10,21.96,3.18,0.0,71.31,20.15,16.58,29.52,91.93
2020,11,21.19,3.0,0.0,65.56,21.93,15.33,29.61,92.01
2020,12,21.36,2.71,0.0,68.69,19.69,15.74,29.34,91.95
2020,13,21.97,1.22,0.0,68.12,18.82,15.97,30.28,91.81
2020,14,21.46,1.99,0.0,63.44,20.88,14.56,30.67,91.79
2020,15,20.44,2.46,0.0,60.38,21.81,13.9,30.31,91.83
2020,16,20.44,2.34,0.0,64.38,21.65,13.65,29.48,91.84
2020,17,21.51,2.6,0.0,66.75,21.25,15.06,30.3,91.86
2020,18,23.11,3.1,0.09,71.81,15.66,17.12,30.73,91.87
2020,19,23.48,2.45,0.01,68.94,18.42,18.26,30.83,91.91
2020,20,23.02,2.84,0.0,61.75,21.39,17.6,31.32,92.0
2020,21,21.87,3.01,0.0,59.44,22.33,15.22,31.02,92.07
2020,22,21.97,3.38,0.0,64.38,22.28,13.99,31.25,92.1
2020,23,22.6,3.12,0.0,62.44,21.96,15.81,31.52,92.04
2020,24,22.12,2.68,0.0,56.38,22.77,15.58,31.44,92.03
2020,25,21.42,2.19,0.0,50.75,23.39,12.71,31.65,92.03
2020,26,22.09,2.12,0.0,54.94,23.09,12.85,32.62,91.93
2020,27,22.83,2.03,0.0,54.75,22.2,14.08,32.97,91.88
2020,28,23.76,2.3,0.0,56.06,21.37,16.25,32.38,91.89
2020,29,23.81,1.95,0.0,56.62,22.47,16.41,32.72,91.98
2020,30,24.26,1.52,0.0,55.69,22.65,16.73,33.52,91.92
2020,31,24.11,2.25,0.0,56.0,22.82,16.35,32.92,91.81
2020,32,23.79,3.52,0.0,60.88,21.27,17.9,31.06,91.88
2020,33,23.64,3.52,0.0,58.44,21.71,17.55,31.43,92.04
2020,34,23.56,2.98,0.0,55.56,23.13,17.01,32.38,92.03
2020,35,23.62,2.93,0.0,57.31,22.86,17.33,32.19,91.89
2020,36,23.76,2.66,0.0,57.31,19.63,16.77,32.53,91.93
2020,37,24.05,2.21,0.0,54.94,20.48,15.79,32.84,91.92
2020,38,24.51,2.74,0.0,56.62,19.22,17.14,32.87,91.95
2020,39,25.4,1.99,0.0,52.0,21.15,18.41,32.88,91.96
2020,40,24.3,3.39,0.0,58.94,19.68,18.47,31.31,92.01
2020,41,24.52,3.83,0.0,55.75,20.95,18.41,32.68,91.98
2020,42,24.09,4.04,0.0,55.06,23.51,17.71,32.64,92.02
2020,43,23.37,3.48,0.0,52.5,20.71,15.9,32.62,92.17
2020,44,23.71,2.66,0.0,50.19,23.55,14.48,33.51,92.09
2020,45,24.31,1.77,0.0,48.31,23.36,15.93,33.97,91.89
2020,46,24.73,1.75,0.0,39.25,23.69,15.26,35.28,91.9
2020,47,24.08,2.8,0.0,37.44,24.38,14.4,34.77,91.99
2020,48,23.31,2.71,0.0,36.44,25.22,13.71,34.51,92.05
2020,49,23.73,3.07,0.0,45.81,25.26,13.79,34.32,92.02
2020,50,24.3,2.73,0.0,52.06,23.5,15.62,34.26,91.96
2020,51,24.14,3.23,0.0,46.69,24.99,16.26,34.44,91.94
2020,52,23.91,3.14,0.0,44.12,25.51,14.96,35.0,92.06
2020,53,24.37,3.22,0.0,52.06,24.71,15.65,34.64,92.16
2020,54,25.06,3.07,0.0,49.12,22.05,17.44,34.72,92.05
2020,55,25.39,3.1,0.0,50.19,18.94,17.41,34.96,91.87
2020,56,25.87,2.2,0.0,49.88,24.44,18.24,34.87,91.78
2020,57,26.47,2.92,0.0,52.75,22.58,19.03,34.67,91.81
2020,58,25.84,2.72,0.0,56.0,19.38,19.75,32.44,91.85
2020,59,26.17,3.31,0.0,52.56,19.64,19.77,33.73,91.76
2020,60,26.53,2.83,0.0,50.12,22.14,19.55,34.27,91.73
2020,61,26.96,2.8,0.08,49.62,22.15,20.03,34.58,91.79
2020,62,26.22,1.7,0.13,52.19,15.1,19.02,33.23,91.84
2020,63,27.66,1.66,0.06,47.44,20.47,20.04,35.01,91.83
2020,64,27.98,1.0,0.11,47.81,19.23,22.1,33.93,91.76
2020,65,27.55,2.94,0.69,50.19,20.8,21.38,33.48,91.68
2020,66,27.23,2.53,0.85,52.75,19.94,22.31,33.73,91.72
