Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,23.12,3.15,0.43,67.25,12.68,18.31,30.28,95.2
2020,2,23.23,2.25,5.63,77.31,10.5,19.12,29.39,95.3
2020,3,23.51,1.16,2.47,72.25,16.15,18.57,29.68,95.2
2020,4,21.87,1.7,0.01,71.81,14.14,16.65,29.38,95.09
2020,5,19.62,2.82,0.0,72.12,15.8,14.77,26.38,95.25
2020,6,20.68,2.63,0.0,68.88,14.91,12.74,29.15,95.35
2020,7,23.08,2.01,0.0,71.62,14.11,17.42,30.28,95.24
2020,8,23.79,2.5,0.02,72.5,11.74,18.73,30.39,95.06
2020,9,22.65,1.78,0.04,71.75,11.67,17.81,28.93,95.16
2020,10,19.99,2.84,0.0,68.31,15.09,14.3,27.48,95.29
2020,11,19.09,2.15,0.0,62.56,15.45,12.13,27.92,95.4
2020,12,18.98,1.87,0.0,53.31,18.84,11.78,28.86,95.26
2020,13,20.99,1.12,0.0,43.81,19.0,12.55,30.8,95.01
2020,14,21.4,1.86,0.0,49.62,18.12,13.08,31.12,94.95
2020,15,21.78,2.95,0.0,54.94,18.64,14.66,31.3,94.99
2020,16,21.72,2.62,0.0,57.5,18.35,15.13,30.06,94.99
2020,17,22.32,1.27,0.0,54.19,16.2,14.26,30.23,95.04
2020,18,23.49,1.48,0.0,60.69,16.58,15.57,31.07,95.06
2020,19,23.64,1.72,0.0,61.75,16.05,17.48,30.92,95.14
2020,20,23.27,1.96,0.0,59.56,15.38,15.93,31.35,95.22
2020,21,24.02,2.93,0.0,53.88,18.37,17.29,32.21,95.28
2020,22,23.79,3.11,0.0,50.25,19.37,16.81,32.42,95.37
2020,23,23.5,2.35,0.0,48.0,19.35,16.15,32.43,95.3
2020,24,23.08,2.29,0.0,52.0,19.31,15.66,31.9,95.31
2020,25,23.73,1.66,0.0,47.31,18.59,15.76,32.69,95.24
2020,26,24.63,1.9,0.0,41.75,19.1,18.41,33.4,95.13
2020,27,25.38,2.23,0.0,36.94,18.56,16.08,34.67,94.96
2020,28,25.37,2.24,0.0,39.94,18.27,18.47,33.07,94.92
2020,29,23.79,2.32,0.0,42.38,19.0,16.69,32.65,95.14
2020,30,23.12,2.3,0.0,46.38,19.33,15.4,32.01,95.16
2020,31,23.76,1.95,0.0,41.75,18.13,14.32,32.81,94.98
2020,32,25.45,2.9,0.0,50.75,18.14,18.15,33.05,95.01
2020,33,25.24,2.68,0.02,52.81,13.21,18.75,32.04,95.26
2020,34,25.62,2.37,0.0,51.75,16.74,20.37,31.54,95.23
2020,35,25.78,2.33,0.0,50.0,19.89,18.28,32.64,95.05
2020,36,26.14,1.62,0.0,42.88,17.87,20.68,32.37,95.07
2020,37,26.29,2.47,0.0,44.25,18.08,20.28,33.23,94.98
2020,38,26.3,2.68,0.03,38.69,19.32,21.23,33.5,95.01
2020,39,24.19,3.21,0.79,56.5,14.36,18.25,31.27,95.17
2020,40,21.77,3.83,0.17,62.06,12.37,16.07,29.22,95.39
2020,41,23.32,3.07,0.0,61.44,15.08,16.82,30.1,95.34
2020,42,24.21,2.93,0.0,59.12,14.3,17.98,30.59,95.36
2020,43,24.58,2.46,0.0,51.94,14.81,17.38,32.12,95.49
2020,44,23.83,2.44,0.0,37.38,21.48,16.37,32.97,95.39
2020,45,24.46,1.66,0.0,28.69,21.42,16.12,34.24,95.13
2020,46,25.08,1.62,0.0,28.88,22.23,15.88,35.05,95.1
2020,47,25.33,2.23,0.0,30.81,21.64,16.46,35.1,95.22
2020,48,25.13,2.68,0.0,26.62,21.72,16.23,34.97,95.32
2020,49,24.49,2.57,0.0,21.38,23.32,15.98,34.43,95.26
2020,50,25.36,1.81,0.0,21.44,22.23,16.02,35.46,95.14
2020,51,25.9,2.66,0.0,45.19,21.77,17.23,35.19,95.09
2020,52,25.91,3.05,0.0,39.5,21.6,17.82,34.58,95.29
2020,53,26.13,3.11,0.0,37.44,22.66,17.46,35.25,95.41
2020,54,26.49,2.82,0.0,36.88,21.91,18.01,35.56,95.26
2020,55,27.54,2.22,0.0,38.81,22.26,18.76,35.44,94.99
2020,56,26.08,2.77,0.0,25.31,21.43,19.33,34.02,94.97
2020,57,23.93,2.78,0.0,23.81,22.1,15.43,33.11,95.14
2020,58,24.46,2.56,0.0,24.62,23.57,15.62,33.96,95.14
2020,59,25.36,2.5,0.0,32.5,21.81,15.83,34.51,94.97
2020,60,26.89,1.59,0.03,40.5,20.22,18.17,34.19,94.88
2020,61,27.95,1.95,2.84,42.75,20.06,20.74,34.41,94.93
2020,62,27.87,1.58,2.44,41.31,20.45,21.97,34.68,94.97
2020,63,27.96,1.93,0.0,34.94,21.13,20.4,35.8,94.89
2020,64,26.89,2.2,0.0,27.0,22.93,19.65,35.37,94.86
2020,65,25.94,1.54,0.01,25.06,19.77,16.56,34.12,94.74
2020,66,26.06,2.66,0.0,31.25,22.34,19.04,34.12,94.76
2020,67,26.41,1.71,0.06,36.25,19.52,16.83,34.56,94.99
2020,68,28.97,1.37,0.76,43.38,17.19,22.89,35.03,94.97
2020,69,29.28,2.27,0.04,44.81,17.12,23.68,35.1,94.83
2020,70,30.04,3.1,0.0,38.75,22.31,23.26,37.05,94.74
2020,71,29.12,1.7,0.85,40.12,19.93,22.27,35.3,94.82
2020,72,28.85,1.38,0.72,39.69,20.61,22.93,34.55,94.95
2020,73,30.01,3.53,0.0,35.56,21.56,23.15,36.8,94.93
2020,74,30.08,2.01,0.0,32.06,19.67,24.34,37.02,94.9
2020,75,30.08,1.76,0.0,36.12,22.55,21.92,37.29,94.92
2020,76,30.57,1.76,0.0,34.56,23.67,23.49,36.9,95.02
2020,77,30.62,2.44,0.04,33.06,23.13,22.59,37.38,95.08
2020,78,30.41,1.54,0.19,33.44,22.82,22.28,37.68,95.06
2020,79,28.8,1.09,4.37,41.38,21.06,24.69,34.96,94.96
2020,80,29.35,0.93,0.06,37.38,23.34,22.06,37.15,94.87
2020,81,27.79,2.66,0.0,24.44,25.56,19.44,37.01,94.9
2020,82,27.55,2.38,0.01,23.69,25.49,18.29,36.63,94.98
2020,83,29.26,1.78,0.0,29.31,21.7,19.68,37.59,94.88
2020,84,30.83,2.0,0.07,35.69,21.71,22.23,38.53,94.73
2020,85,31.19,2.12,0.07,32.88,19.31,23.37,38.26,94.74
2020,86,31.65,2.28,0.01,32.69,23.63,25.79,38.3,94.83
2020,87,31.19,2.06,0.0,29.69,25.34,23.2,39.08,94.96
2020,88,31.01,1.52,1.7,28.75,24.35,21.69,39.25,94.9
2020,89,31.8,1.32,0.95,34.44,23.06,24.55,38.86,94.79
2020,90,31.7,2.48,0.82,36.75,23.38,24.02,38.96,94.89
2020,91,31.66,1.73,0.01,36.38,23.01,23.48,38.94,94.95
2020,92,31.72,1.27,0.0,32.94,19.22,25.99,37.73,94.89
2020,93,32.5,1.57,0.15,28.25,19.61,25.24,39.72,94.72
2020,94,32.08,1.7,0.54,32.06,18.88,27.29,36.98,94.8
2020,95,29.99,2.53,1.19,37.25,15.28,26.21,35.3,94.98
2020,96,31.72,2.09,0.0,30.25,23.07,23.69,39.53,94.94
2020,97,32.33,2.8,3.71,34.94,19.99,27.31,38.44,94.92
2020,98,32.17,2.47,0.19,37.88,21.6,25.32,38.94,94.77
2020,99,30.97,2.5,0.01,28.88,25.25,23.45,39.05,94.83
2020,100,29.84,2.39,0.02,26.31,26.16,20.84,38.74,94.86
2020,101,30.43,2.69,2.21,41.38,22.85,23.57,37.68,94.97
2020,102,31.69,2.51,0.0,31.38,26.12,24.41,38.94,95.07
2020,103,32.3,2.28,0.0,29.06,21.59,25.08,40.03,94.98
2020,104,32.89,2.07,0.02,28.75,22.43,25.72,40.26,94.82
2020,105,33.27,2.48,0.05,25.25,22.94,26.06,40.84,94.84
2020,106,32.8,2.35,0.0,25.25,22.2,24.86,40.06,94.93
2020,107,33.19,2.26,0.0,25.38,24.04,25.15,40.65,94.78
2020,108,33.76,2.28,0.11,27.12,21.23,25.76,40.93,94.69
2020,109,34.21,2.47,0.58,29.06,21.15,27.34,40.94,94.76
2020,110,34.06,1.84,1.06,30.19,21.46,26.69,40.51,94.78
2020,111,34.18,1.79,1.82,30.06,19.89,27.59,40.23,94.75
2020,112,33.36,2.86,0.19,31.75,24.28,27.46,39.47,94.76
2020,113,33.46,1.24,0.03,27.12,25.68,25.4,41.02,94.62
2020,114,34.12,2.24,0.0,28.94,24.82,26.58,41.75,94.57
2020,115,34.65,1.13,0.12,29.31,23.9,27.73,41.43,94.51
2020,116,34.26,2.86,0.0,26.62,25.29,27.61,41.13,94.53
2020,117,33.1,1.26,0.06,27.19,26.35,25.12,40.64,94.64
2020,118,33.26,2.33,0.04,30.69,23.32,25.48,40.9,94.72
2020,119,32.69,3.7,0.24,41.25,21.4,25.62,39.16,94.79
2020,120,33.3,2.31,0.01,32.62,23.8,25.9,40.59,94.73
2020,121,34.07,2.14,0.0,29.94,20.74,27.19,40.33,94.75
2020,122,35.03,2.08,0.59,27.44,21.87,27.69,41.9,94.68
2020,123,33.18,1.55,9.34,40.0,23.01,26.48,40.0,94.55
2020,124,33.66,1.84,0.14,35.38,24.8,25.62,41.65,94.56
2020,125,34.24,0.84,0.12,31.88,25.32,25.8,41.83,94.64
2020,126,34.8,1.63,0.0,27.69,25.55,26.86,42.35,94.58
2020,127,35.57,1.65,0.07,26.5,22.43,28.28,42.53,94.51
2020,128,34.83,3.12,0.48,35.38,21.5,28.17,40.88,94.6
2020,129,31.98,2.79,19.95,51.06,21.18,27.6,36.74,94.67
2020,130,32.01,1.79,0.3,53.19,21.34,25.18,38.76,94.67
2020,131,29.99,2.08,0.52,54.38,18.41,26.12,36.56,94.81
2020,132,31.44,2.1,0.0,48.0,21.41,24.8,38.83,94.78
2020,133,31.79,2.09,2.87,44.75,24.76,24.26,38.76,94.65
2020,134,31.76,2.66,0.21,48.94,19.63,25.2,38.23,94.6
2020,135,32.95,2.06,0.0,43.56,21.89,25.45,40.41,94.55
2020,136,33.54,1.49,0.11,39.75,21.14,26.63,39.71,94.47
2020,137,33.29,2.07,4.19,42.38,20.47,26.52,39.65,94.42
2020,138,33.57,1.56,0.49,42.75,19.39,29.01,39.44,94.34
2020,139,33.64,3.01,0.02,35.38,22.91,27.52,41.0,94.11
2020,140,33.75,4.97,0.0,26.88,20.54,27.16,41.41,94.04
2020,141,33.8,3.67,0.0,23.56,24.11,25.82,42.11,94.09
2020,142,33.65,4.57,0.0,18.0,26.62,25.73,42.45,94.25
2020,143,34.34,3.1,0.0,20.12,26.56,25.01,42.48,94.33
2020,144,35.57,3.14,0.0,20.12,27.3,27.11,43.79,94.35
2020,145,35.33,1.92,0.0,23.88,24.7,28.74,42.65,94.46
2020,146,36.11,1.68,0.0,25.06,23.11,29.08,43.05,94.5
2020,147,36.86,2.29,0.0,29.25,24.33,30.35,43.56,94.47
2020,148,37.27,2.56,0.0,22.94,26.78,29.9,43.82,94.36
2020,149,36.46,3.26,0.0,21.0,27.57,28.24,44.3,94.28
2020,150,35.87,2.95,0.79,27.88,24.93,28.19,43.17,94.31
2020,151,32.71,2.38,3.12,40.5,20.08,29.08,36.24,94.52
2020,152,31.33,3.77,3.2,51.0,18.27,27.23,36.12,94.6
2020,153,27.82,1.33,16.7,69.19,20.22,25.62,30.15,94.78
2020,154,26.42,2.7,10.82,75.0,22.19,24.31,29.53,94.64
2020,155,27.09,4.59,3.64,73.94,18.18,23.89,32.7,94.4
2020,156,27.8,5.79,1.22,65.56,20.34,22.73,33.08,94.35
2020,157,29.33,3.38,0.2,56.88,23.17,23.03,36.62,94.46
2020,158,29.19,3.5,0.0,54.88,24.41,22.74,35.41,94.44
2020,159,29.67,3.51,0.04,56.31,23.25,23.4,36.31,94.39
2020,160,30.18,4.05,0.01,48.62,22.83,24.39,37.04,94.39
2020,161,29.71,2.69,4.66,49.81,24.2,23.44,36.94,94.39
2020,162,29.19,3.18,10.74,64.0,13.97,23.92,35.4,94.28
2020,163,26.38,4.3,11.52,74.88,10.29,23.63,29.33,94.12
2020,164,24.57,2.88,2.68,79.56,12.56,22.97,27.01,94.04
2020,165,26.92,4.3,0.68,73.19,16.75,22.67,32.33,94.03
2020,166,28.11,4.11,1.09,70.0,17.33,23.03,34.55,94.13
2020,167,27.76,5.16,2.71,70.75,16.42,23.43,33.65,94.11
2020,168,27.37,4.35,18.33,76.12,10.88,24.11,32.01,94.03
2020,169,26.41,4.62,11.52,79.0,15.42,24.08,30.27,94.14
2020,170,27.02,4.86,13.26,75.94,15.28,23.02,32.33,94.3
2020,171,27.27,4.28,2.07,74.25,17.07,22.99,32.55,94.4
2020,172,26.43,3.83,9.8,76.94,17.16,23.63,30.55,94.44
2020,173,26.34,3.97,1.3,76.62,15.54,23.06,30.15,94.34
2020,174,26.98,3.79,2.05,73.62,18.13,23.05,32.19,94.22
2020,175,27.54,2.86,0.68,70.19,21.7,22.78,32.88,94.34
2020,176,28.86,2.23,0.84,65.88,24.6,23.03,34.07,94.38
2020,177,29.33,2.14,3.24,65.44,23.56,23.9,34.83,94.29
2020,178,28.73,2.38,0.44,68.12,20.02,23.37,34.12,94.28
2020,179,27.45,1.95,22.43,79.12,19.53,24.69,31.23,94.31
2020,180,25.95,2.14,14.48,85.56,17.0,24.05,28.38,94.33
2020,181,26.01,1.89,5.4,83.19,16.53,23.06,29.67,94.26
2020,182,26.48,1.38,6.84,81.62,18.0,23.51,30.51,94.2
2020,183,26.58,3.84,6.03,77.25,21.09,23.44,31.51,94.25
2020,184,25.5,3.52,20.44,83.19,21.28,22.8,28.98,94.19
2020,185,25.31,4.84,5.83,81.62,16.33,22.31,29.71,94.12
2020,186,25.11,4.31,2.44,79.75,12.68,22.08,28.59,94.01
2020,187,25.71,5.43,9.02,79.25,13.48,21.86,30.57,94.06
2020,188,25.46,4.41,0.44,79.56,13.51,22.18,28.96,94.11
2020,189,26.01,4.98,1.23,77.94,16.47,22.09,30.73,94.23
2020,190,26.64,3.8,3.18,76.19,19.75,21.4,32.59,94.38
2020,191,25.81,2.93,9.68,78.88,16.78,21.69,29.84,94.35
2020,192,25.03,3.2,23.78,85.75,12.53,23.06,27.92,94.4
2020,193,26.3,3.44,1.05,78.25,20.92,22.65,31.06,94.38
2020,194,26.1,3.17,0.66,77.56,18.09,21.97,30.57,94.38
2020,195,24.66,2.37,0.94,84.44,18.78,22.98,26.94,94.31
2020,196,25.07,1.66,7.82,86.5,13.71,22.3,28.74,94.24
2020,197,24.68,4.33,33.95,87.5,8.37,22.51,27.85,94.02
2020,198,25.12,5.65,9.92,82.25,15.08,21.8,28.44,93.93
2020,199,25.76,4.12,2.41,78.0,18.47,20.67,31.42,94.07
2020,200,26.55,2.85,3.77,79.19,21.35,22.26,31.58,94.28
2020,201,25.6,2.12,17.52,85.5,19.05,23.4,28.86,94.39
2020,202,26.2,2.72,6.24,82.88,16.29,22.71,30.73,94.27
2020,203,26.17,2.03,1.84,83.38,20.99,22.95,29.51,94.4
2020,204,25.93,2.52,20.26,85.38,17.51,23.08,29.9,94.49
2020,205,24.73,1.66,19.89,87.88,5.85,22.78,27.53,94.46
2020,206,25.2,1.6,3.61,82.0,12.91,21.83,29.12,94.48
2020,207,24.76,2.13,5.12,85.31,16.08,22.28,27.98,94.57
2020,208,25.59,3.01,0.17,80.75,23.12,21.82,30.73,94.66
2020,209,26.38,2.68,0.05,80.12,22.68,22.41,30.65,94.56
2020,210,25.63,2.09,6.11,87.25,16.87,23.65,28.18,94.41
2020,211,25.37,1.34,14.68,87.38,18.21,22.8,28.73,94.27
2020,212,26.99,1.8,8.38,80.69,20.73,22.72,31.62,94.29
2020,213,26.23,2.16,4.5,83.75,17.98,23.14,29.75,94.3
2020,214,26.17,2.08,6.98,83.94,16.69,22.93,30.38,94.28
2020,215,26.22,3.19,5.2,84.44,20.44,23.15,30.84,94.21
