Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,22.47,1.5,0.26,79.75,15.08,18.61,28.07,92.55
2020,2,23.29,1.52,0.0,76.56,15.91,18.5,29.82,92.64
2020,3,23.69,1.21,0.0,75.81,17.24,18.35,30.27,92.57
2020,4,24.41,0.81,0.0,72.81,17.43,19.42,31.11,92.41
2020,5,24.12,1.18,0.0,73.19,16.91,19.58,30.23,92.38
2020,6,23.49,2.48,0.01,74.62,18.78,19.47,29.83,92.54
2020,7,22.56,2.12,0.0,72.5,19.97,17.58,29.61,92.55
2020,8,22.43,1.34,0.0,69.31,19.38,17.17,29.98,92.49
2020,9,22.3,1.26,0.0,70.5,18.0,16.4,30.13,92.48
2020,10,21.79,2.2,0.0,72.31,19.75,15.42,29.43,92.48
2020,11,21.17,2.0,0.0,65.62,22.21,16.2,29.44,92.55
2020,12,21.05,1.88,0.0,69.44,21.77,15.05,29.39,92.5
2020,13,21.88,0.97,0.0,68.88,18.84,15.25,30.14,92.38
2020,14,22.03,1.18,0.0,66.94,20.7,15.27,30.62,92.34
2020,15,20.86,1.5,0.0,64.31,21.34,13.9,29.92,92.39
2020,16,20.65,1.36,0.0,63.44,20.71,13.3,29.74,92.4
2020,17,21.55,1.52,0.0,65.69,20.54,14.4,30.46,92.41
2020,18,23.37,2.19,1.07,73.75,17.86,17.23,30.98,92.41
2020,19,23.55,1.99,2.0,73.0,18.87,18.65,30.43,92.45
2020,20,23.43,1.95,0.0,64.94,21.09,17.77,31.37,92.54
2020,21,22.33,1.97,0.0,61.19,22.12,15.57,31.19,92.61
2020,22,22.69,2.41,0.0,63.75,22.9,15.73,31.94,92.61
2020,23,23.32,2.55,0.0,67.12,21.62,17.35,31.63,92.56
2020,24,22.68,2.12,0.0,56.69,23.05,16.37,31.94,92.57
2020,25,21.91,1.57,0.0,48.56,23.61,13.87,32.3,92.58
2020,26,22.28,1.47,0.0,48.94,23.21,13.07,32.58,92.49
2020,27,23.5,1.35,0.0,54.06,22.12,15.71,33.01,92.45
2020,28,24.29,1.31,0.0,60.94,21.36,18.02,32.77,92.46
2020,29,24.13,1.25,0.0,56.75,22.25,17.23,33.22,92.53
2020,30,24.66,0.98,0.0,54.94,23.21,17.35,34.05,92.47
2020,31,24.86,1.12,0.0,53.5,22.78,17.34,33.56,92.35
2020,32,24.07,2.34,0.0,60.44,20.65,17.83,31.51,92.43
2020,33,23.34,2.38,0.0,57.44,21.87,17.93,31.15,92.61
2020,34,23.22,1.87,0.0,58.19,22.95,16.16,31.74,92.6
2020,35,23.47,1.89,0.0,58.38,22.09,16.4,31.93,92.46
2020,36,24.01,1.69,0.63,63.75,19.57,17.68,31.5,92.49
2020,37,24.77,1.14,0.01,55.62,20.41,17.15,33.13,92.48
2020,38,24.38,1.6,0.0,61.81,18.6,17.29,32.17,92.53
2020,39,25.25,1.17,0.0,57.19,21.83,18.35,33.23,92.52
2020,40,24.87,1.83,0.29,58.0,20.16,19.04,31.94,92.53
2020,41,24.81,2.65,0.2,61.31,20.95,18.81,32.35,92.52
2020,42,24.37,3.09,0.0,57.0,23.59,18.66,32.48,92.56
2020,43,23.79,2.44,0.0,56.94,22.56,16.4,32.65,92.69
2020,44,24.1,1.92,0.0,51.31,23.25,15.79,33.98,92.64
2020,45,24.59,1.06,0.0,49.62,22.59,15.54,33.95,92.45
2020,46,25.44,1.27,0.0,45.75,23.64,17.02,35.03,92.45
2020,47,24.37,1.95,0.0,41.31,23.9,15.79,34.37,92.54
2020,48,23.28,1.88,0.0,37.81,25.56,14.23,34.26,92.6
2020,49,23.66,2.17,0.0,44.56,25.63,14.01,34.4,92.57
2020,50,23.82,1.94,0.0,48.94,23.77,15.91,33.2,92.52
2020,51,23.73,2.29,0.0,48.75,25.49,16.14,34.08,92.49
2020,52,23.82,2.2,0.0,49.12,25.66,14.72,34.56,92.6
2020,53,25.09,2.55,0.0,56.56,24.64,16.8,34.69,92.68
2020,54,25.4,2.52,0.0,52.56,21.49,18.55,34.34,92.59
2020,55,25.56,2.38,0.0,51.44,20.54,18.58,34.63,92.42
2020,56,26.02,1.66,0.0,48.69,24.37,18.3,35.15,92.34
2020,57,26.64,2.18,0.0,49.19,23.07,19.13,34.84,92.36
2020,58,26.51,2.0,0.0,49.75,19.7,18.8,33.8,92.39
2020,59,26.51,2.42,0.01,53.88,19.85,20.69,33.14,92.31
2020,60,26.99,2.02,0.0,49.25,19.24,19.95,34.5,92.28
2020,61,27.05,1.95,0.46,52.56,19.71,20.44,34.31,92.35
2020,62,22.86,1.71,2.62,70.06,15.04,20.44,25.82,92.46
2020,63,26.19,1.47,0.1,58.0,18.45,19.48,34.08,92.42
2020,64,26.62,0.99,0.09,58.94,18.02,22.02,32.46,92.32
2020,65,27.19,1.68,0.0,56.31,18.68,21.51,34.08,92.24
