Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,22.73,2.39,0.09,74.56,15.15,18.5,28.92,92.32
2020,2,23.89,2.01,0.01,72.31,15.65,19.46,30.3,92.38
2020,3,24.3,1.63,0.0,71.25,17.91,18.58,30.94,92.3
2020,4,24.46,1.59,0.0,71.5,18.39,19.42,30.64,92.15
2020,5,24.04,1.77,0.01,72.88,17.34,19.3,30.9,92.16
2020,6,23.65,3.31,0.27,72.62,11.97,19.51,30.36,92.31
2020,7,22.87,2.99,0.17,70.0,14.99,18.05,29.97,92.32
2020,8,22.58,1.93,0.08,69.75,20.09,17.34,30.12,92.24
2020,9,22.95,1.75,0.0,68.88,19.3,16.77,30.85,92.22
2020,10,22.12,3.14,0.0,71.31,18.93,16.87,29.43,92.24
2020,11,21.27,3.0,0.0,68.56,20.52,15.37,29.13,92.34
2020,12,21.48,2.66,0.0,69.44,18.12,15.75,29.07,92.28
2020,13,21.79,1.48,0.0,66.56,19.54,15.91,30.12,92.13
2020,14,21.62,2.09,0.0,61.19,21.31,14.41,30.98,92.09
2020,15,20.63,2.6,0.0,59.0,21.86,14.08,30.5,92.14
2020,16,20.73,2.42,0.0,62.12,21.44,13.54,30.06,92.14
2020,17,21.96,2.84,0.0,64.0,19.5,15.16,31.03,92.15
2020,18,23.41,2.91,0.03,67.5,18.02,17.31,31.4,92.17
2020,19,23.69,2.4,0.01,65.94,19.58,17.91,31.19,92.22
2020,20,23.28,2.92,0.0,60.5,21.21,17.47,31.55,92.31
2020,21,22.05,3.17,0.0,57.81,22.32,15.35,30.93,92.4
2020,22,22.18,3.33,0.0,63.19,22.23,14.59,31.5,92.42
2020,23,23.06,3.0,0.0,57.88,22.48,16.19,32.13,92.36
2020,24,22.28,2.75,0.0,54.06,21.86,15.74,31.01,92.37
2020,25,22.01,2.47,0.0,48.62,21.67,13.58,31.59,92.35
2020,26,22.77,2.56,0.0,51.44,22.18,14.0,32.67,92.25
2020,27,23.93,2.25,0.0,47.75,21.27,15.23,33.94,92.16
2020,28,24.65,2.45,0.0,52.88,18.96,16.59,33.15,92.17
2020,29,24.9,1.72,0.0,50.19,21.02,16.73,33.28,92.27
2020,30,25.33,1.84,0.0,49.5,22.0,17.12,34.16,92.2
2020,31,25.01,1.98,0.0,50.06,22.44,16.75,33.69,92.09
2020,32,24.9,3.79,0.0,55.62,21.27,18.2,32.87,92.14
2020,33,24.08,3.55,0.0,56.31,19.75,17.83,31.32,92.34
2020,34,23.93,3.09,0.0,52.44,22.41,16.7,32.83,92.33
2020,35,24.05,2.8,0.0,53.5,23.36,17.3,32.9,92.18
2020,36,24.26,2.8,0.0,54.5,22.09,16.9,32.8,92.22
2020,37,24.84,2.46,0.0,52.19,20.63,16.78,32.71,92.2
2020,38,25.21,2.61,0.0,52.56,19.43,17.3,33.45,92.23
2020,39,26.03,1.63,0.0,47.31,22.08,19.55,33.18,92.25
2020,40,24.67,2.91,0.0,55.75,19.63,18.94,31.39,92.31
2020,41,24.64,3.84,0.0,54.19,22.23,18.92,32.65,92.3
2020,42,24.47,4.12,0.0,53.38,23.72,17.98,32.8,92.34
2020,43,23.59,3.41,0.0,51.62,22.96,15.97,32.66,92.49
2020,44,23.47,2.75,0.0,50.25,22.57,15.08,32.56,92.43
2020,45,24.0,2.13,0.0,46.06,23.37,15.62,33.19,92.22
2020,46,24.53,2.05,0.0,33.88,24.0,15.2,34.87,92.22
2020,47,24.4,3.09,0.0,33.31,23.24,15.17,34.82,92.3
2020,48,23.81,2.93,0.0,33.31,23.06,14.67,34.26,92.37
2020,49,24.04,3.27,0.0,41.56,24.61,14.79,33.85,92.34
2020,50,24.65,2.87,0.0,49.5,23.57,15.54,34.48,92.27
2020,51,24.22,3.01,0.0,45.5,24.64,15.4,34.37,92.25
2020,52,23.98,3.01,0.0,43.0,25.18,14.19,34.81,92.38
2020,53,24.23,3.1,0.0,51.31,25.39,15.41,34.12,92.48
2020,54,24.83,2.71,0.0,47.62,23.01,16.58,34.63,92.37
2020,55,25.44,2.87,0.0,48.0,21.87,17.33,35.21,92.17
2020,56,26.15,2.47,0.0,47.31,23.26,17.93,35.08,92.07
2020,57,26.74,2.83,0.0,50.62,20.71,18.9,34.44,92.11
2020,58,25.87,2.69,0.0,54.19,19.04,19.66,31.48,92.16
2020,59,26.28,3.24,0.0,50.69,20.77,19.02,33.59,92.06
2020,60,26.51,3.12,0.0,48.62,22.43,19.59,33.87,92.04
2020,61,27.12,3.24,0.05,46.75,22.98,20.23,34.41,92.09
2020,62,26.72,1.77,0.01,48.44,16.68,19.13,33.19,92.14
2020,63,28.48,1.7,0.08,42.88,21.84,21.88,35.09,92.12
2020,64,28.22,1.46,0.09,43.31,21.4,22.24,34.18,92.07
2020,65,28.21,1.93,1.16,45.31,23.13,21.85,34.33,91.96
2020,66,27.66,2.05,1.19,50.06,22.06,22.5,33.57,92.01
