Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,21.29,0.68,0.0,83.56,16.71,17.98,25.13,92.33
2020,2,21.94,0.46,0.0,82.75,16.89,17.26,27.68,92.41
2020,3,22.03,0.45,0.0,83.75,17.71,18.19,27.45,92.36
2020,4,20.96,0.52,0.0,83.81,20.21,17.12,26.89,92.24
2020,5,21.34,0.52,0.0,79.12,19.72,15.83,27.41,92.18
2020,6,22.15,0.95,0.0,82.31,16.88,18.77,27.15,92.3
2020,7,22.08,0.81,0.0,76.5,18.74,17.9,27.55,92.31
2020,8,21.27,0.6,0.0,81.06,19.1,15.99,27.52,92.26
2020,9,21.8,0.44,0.0,82.31,17.42,17.01,27.75,92.25
2020,10,21.79,0.8,0.0,78.88,17.1,16.57,27.58,92.22
2020,11,21.09,0.94,0.0,76.0,20.96,16.64,27.15,92.31
2020,12,20.15,0.92,0.0,72.44,20.81,15.5,26.53,92.28
2020,13,20.05,0.55,0.0,78.0,20.46,14.19,27.26,92.16
2020,14,20.86,0.31,0.0,78.0,20.54,15.4,27.47,92.11
2020,15,20.58,0.67,0.0,78.81,20.68,15.4,27.31,92.13
2020,16,19.71,0.63,0.0,77.88,18.32,13.81,26.51,92.14
2020,17,20.44,0.51,0.01,79.56,18.64,15.02,26.94,92.17
2020,18,21.41,0.69,0.01,75.75,21.37,15.33,27.93,92.18
2020,19,22.52,0.55,0.0,78.06,18.9,17.16,28.51,92.21
2020,20,22.64,0.7,0.0,71.25,19.86,17.29,28.69,92.29
2020,21,21.33,0.9,0.0,65.25,21.13,15.77,28.33,92.36
2020,22,20.93,1.02,0.0,63.38,22.19,14.15,28.76,92.37
2020,23,21.6,1.01,0.0,64.56,22.49,15.97,28.91,92.33
2020,24,21.0,0.99,0.0,62.75,22.73,15.2,28.52,92.34
2020,25,20.72,0.8,0.0,56.94,22.66,13.94,28.48,92.35
2020,26,21.06,0.65,0.0,57.56,22.61,13.44,28.98,92.27
2020,27,21.26,0.81,0.0,73.25,21.34,15.14,29.01,92.25
2020,28,21.2,0.89,0.0,83.12,18.85,17.24,27.28,92.26
2020,29,21.13,0.62,0.0,80.5,22.2,16.73,28.19,92.35
2020,30,21.45,0.51,0.0,78.62,22.97,16.4,29.11,92.29
2020,31,21.31,0.48,0.0,78.19,22.92,16.02,29.12,92.16
2020,32,21.51,0.7,0.0,80.0,19.19,16.13,28.38,92.19
2020,33,21.91,0.62,0.0,75.94,16.68,17.41,27.9,92.37
2020,34,22.05,0.62,0.0,71.12,21.13,16.08,29.07,92.35
2020,35,21.5,0.73,0.0,72.62,21.91,15.65,28.75,92.21
2020,36,21.65,0.69,0.0,75.62,21.22,15.74,28.69,92.26
2020,37,21.89,0.62,0.0,79.19,20.43,17.55,28.22,92.26
2020,38,21.4,0.68,0.0,80.19,18.85,16.87,28.11,92.32
2020,39,19.81,0.77,0.0,77.0,23.29,14.96,27.15,92.37
2020,40,20.71,0.6,0.0,71.5,23.31,13.63,28.65,92.31
2020,41,22.5,0.85,0.0,69.94,21.07,16.94,28.94,92.28
2020,42,23.05,1.05,0.0,61.38,23.72,18.16,30.17,92.3
2020,43,22.58,1.02,0.0,60.94,23.16,16.4,30.32,92.45
2020,44,22.15,1.0,0.0,57.06,23.55,15.13,30.48,92.42
2020,45,22.46,0.55,0.0,58.06,23.1,14.94,30.71,92.25
2020,46,22.84,0.66,0.0,49.38,23.69,14.68,31.54,92.25
2020,47,22.21,0.88,0.0,44.75,24.04,14.01,31.73,92.3
2020,48,22.29,0.96,0.0,44.5,24.64,14.38,31.8,92.36
2020,49,22.61,1.05,0.0,45.62,23.59,14.42,31.62,92.34
2020,50,23.07,0.77,0.0,52.12,23.86,15.56,31.77,92.27
2020,51,23.01,0.86,0.0,54.0,24.37,15.15,32.09,92.23
2020,52,22.28,0.98,0.0,45.69,24.97,14.49,31.86,92.36
2020,53,22.33,1.08,0.0,45.06,25.32,14.62,31.78,92.46
2020,54,23.06,1.0,0.0,49.38,23.33,16.21,32.2,92.36
2020,55,23.65,0.88,0.0,54.44,23.38,16.44,32.8,92.18
2020,56,23.54,0.64,0.0,59.5,22.3,15.62,32.13,92.11
2020,57,24.76,0.64,0.0,61.12,21.0,17.28,32.69,92.12
2020,58,25.23,0.66,0.0,61.38,19.03,18.84,31.62,92.15
2020,59,25.32,0.55,0.0,62.0,19.86,19.41,31.55,92.06
2020,60,24.75,0.62,0.11,65.5,17.71,19.64,30.59,92.04
2020,61,24.85,0.57,1.81,69.69,19.89,19.68,31.57,92.12
2020,62,24.44,0.73,1.33,73.56,16.76,19.99,30.96,92.19
2020,63,24.02,0.84,1.11,73.81,20.17,19.39,31.14,92.23
2020,64,23.15,0.79,0.17,71.81,22.43,17.89,30.58,92.18
2020,65,23.12,0.81,0.0,72.38,22.75,17.72,31.09,92.07
2020,66,22.65,1.03,0.03,72.81,23.86,17.48,30.28,92.12
2020,67,22.95,0.84,0.01,72.0,23.62,16.75,30.58,92.24
2020,68,24.17,0.69,0.0,71.94,22.16,17.61,32.0,92.21
2020,69,25.13,0.68,0.0,70.12,21.28,19.62,32.77,92.1
2020,70,25.29,0.71,0.0,68.88,23.81,19.64,33.2,92.08
2020,71,24.85,0.95,0.0,70.94,22.48,19.41,32.67,92.13
2020,72,25.29,0.71,0.0,68.38,25.26,19.63,33.29,92.21
2020,73,25.4,0.54,0.0,64.0,25.36,19.1,34.08,92.2
2020,74,25.68,0.45,0.0,60.19,26.09,18.66,34.8,92.1
2020,75,26.68,0.48,0.0,53.88,25.99,18.44,35.36,92.05
2020,76,26.94,0.62,0.0,54.12,25.31,19.38,35.07,92.16
2020,77,26.9,0.89,0.0,48.75,24.73,20.42,35.68,92.25
2020,78,26.52,0.59,0.0,51.69,25.66,19.19,35.33,92.28
2020,79,26.48,0.83,0.0,60.62,23.63,20.14,34.76,92.21
2020,80,26.3,0.91,0.17,55.94,25.28,20.8,34.04,92.21
2020,81,25.09,0.66,0.1,49.5,27.08,18.18,34.3,92.18
2020,82,25.72,0.78,0.0,51.69,26.53,17.68,34.65,92.16
2020,83,27.12,0.48,0.01,56.5,26.19,19.87,35.9,92.08
2020,84,26.93,0.56,0.24,59.0,22.6,20.14,35.05,91.96
2020,85,26.52,0.66,0.12,61.19,21.94,20.64,33.62,91.97
2020,86,27.68,0.73,0.0,53.12,24.92,20.33,36.02,91.98
2020,87,27.58,0.65,0.0,50.19,24.07,20.44,35.82,92.17
2020,88,26.96,0.93,0.0,45.38,25.99,19.54,36.54,92.1
2020,89,26.59,0.85,0.0,44.81,25.67,18.05,36.4,92.03
2020,90,27.22,0.76,0.0,53.5,25.33,20.14,36.56,92.07
2020,91,27.44,0.8,0.0,43.19,26.55,18.89,36.97,92.11
2020,92,27.73,0.81,0.0,45.0,27.06,20.08,36.87,92.09
2020,93,27.57,0.75,0.0,58.75,24.41,20.29,36.31,92.01
2020,94,28.39,0.57,0.0,55.44,22.76,21.6,36.42,92.03
2020,95,28.44,0.5,0.0,54.56,24.43,21.72,36.7,92.11
2020,96,27.46,0.77,0.21,62.19,22.4,21.31,35.39,92.22
2020,97,26.58,0.55,1.04,67.12,21.91,21.67,32.46,92.23
2020,98,25.24,0.69,1.09,72.06,16.37,21.84,29.73,92.18
2020,99,26.65,0.48,0.58,62.81,22.28,20.17,34.67,92.19
2020,100,27.01,0.7,0.98,58.38,26.4,21.9,33.76,92.13
2020,101,26.87,0.7,0.27,59.38,22.29,21.05,34.23,92.17
2020,102,26.87,0.69,0.6,55.94,24.33,21.29,32.81,92.28
2020,103,27.11,0.73,0.97,56.5,23.74,21.09,34.06,92.23
2020,104,27.59,1.08,0.0,48.94,25.99,20.14,36.58,92.09
2020,105,27.4,1.21,0.0,44.06,26.43,18.94,37.39,92.1
2020,106,27.69,0.96,0.0,44.06,24.95,18.89,36.96,92.19
2020,107,27.7,0.67,0.0,54.56,22.97,20.4,35.77,92.1
2020,108,28.8,0.52,0.0,52.62,24.98,21.68,36.91,92.02
2020,109,28.38,0.64,0.21,55.25,22.61,22.78,35.05,92.07
2020,110,29.24,0.78,0.1,52.25,24.17,22.03,36.72,91.99
2020,111,29.08,0.75,0.38,51.31,24.32,22.64,36.99,91.99
2020,112,28.87,0.52,0.57,54.38,21.36,22.37,36.81,92.05
2020,113,27.89,0.7,0.0,62.88,21.94,22.4,35.19,92.04
2020,114,27.05,0.88,11.37,70.06,23.29,22.8,33.95,92.04
