Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,23.11,2.09,0.0,73.38,16.92,18.78,28.11,93.55
2020,2,23.94,1.12,0.0,74.62,17.42,18.81,30.6,93.61
2020,3,24.28,1.1,0.0,73.5,17.05,18.52,30.86,93.54
2020,4,23.51,1.64,0.0,71.75,18.87,18.3,31.08,93.41
2020,5,23.09,1.92,0.0,70.56,16.68,17.01,30.44,93.4
2020,6,23.79,3.57,0.0,73.81,13.89,18.62,30.84,93.54
2020,7,23.88,2.71,0.01,68.94,14.46,19.12,31.01,93.53
2020,8,23.77,1.53,0.01,65.88,18.55,17.64,31.09,93.45
2020,9,23.94,0.68,0.0,67.75,18.62,17.44,31.27,93.45
2020,10,23.24,2.89,0.0,69.56,18.3,17.01,30.65,93.45
2020,11,22.41,2.89,0.0,69.69,19.21,17.08,29.69,93.57
2020,12,21.87,2.84,0.0,67.44,17.94,16.8,29.5,93.52
2020,13,22.39,1.11,0.0,67.06,19.59,15.29,30.72,93.36
2020,14,22.45,1.42,0.0,62.0,20.86,15.11,31.19,93.3
2020,15,21.72,2.27,0.0,59.0,21.16,14.89,31.14,93.34
2020,16,21.53,1.65,0.0,59.94,20.88,13.22,30.51,93.35
2020,17,22.67,1.23,0.02,61.19,19.12,14.51,31.22,93.35
2020,18,23.56,2.11,0.08,62.31,19.86,16.62,32.3,93.38
2020,19,24.4,1.98,0.0,64.12,19.59,18.31,31.97,93.43
2020,20,24.44,2.79,0.0,56.75,19.53,17.98,32.63,93.51
2020,21,23.55,3.27,0.0,51.94,21.63,16.76,32.24,93.6
2020,22,22.99,3.25,0.0,56.38,21.51,15.09,32.44,93.63
2020,23,23.9,3.07,0.0,53.12,21.26,17.3,33.13,93.57
2020,24,23.18,2.82,0.0,48.75,21.5,16.65,32.05,93.59
2020,25,23.11,2.57,0.0,45.31,21.17,14.71,33.0,93.56
2020,26,23.92,2.3,0.0,43.25,20.68,15.38,33.59,93.46
2020,27,24.65,2.24,0.0,50.44,21.77,16.3,34.51,93.39
2020,28,24.47,2.69,0.0,67.81,17.82,19.02,32.91,93.41
2020,29,24.33,1.7,0.0,63.69,20.18,18.4,33.19,93.52
2020,30,24.69,1.41,0.0,60.56,22.04,17.61,34.15,93.46
2020,31,24.71,1.66,0.0,59.81,22.14,17.58,34.23,93.33
2020,32,25.3,1.86,0.0,59.81,20.0,17.63,33.59,93.35
2020,33,25.38,1.96,0.0,52.94,18.29,19.9,31.77,93.56
2020,34,25.37,2.51,0.0,47.25,21.92,18.3,33.52,93.54
2020,35,24.8,2.16,0.0,48.19,21.71,17.57,33.62,93.39
2020,36,25.36,1.82,0.0,48.38,22.01,17.69,33.44,93.43
2020,37,25.67,1.81,0.0,54.44,21.25,19.04,33.01,93.42
2020,38,25.06,2.29,0.0,62.12,17.79,19.51,33.19,93.48
2020,39,23.4,2.45,0.0,60.94,22.59,17.21,32.8,93.53
2020,40,24.37,1.91,0.0,57.88,19.8,15.95,32.64,93.51
