Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,26.19,1.11,0.05,76.0,17.48,24.19,28.33,99.39
2020,2,26.8,1.45,0.01,73.19,16.6,23.77,30.48,99.48
2020,3,26.8,2.26,0.0,75.44,18.78,24.01,30.66,99.43
2020,4,25.75,2.42,0.0,75.69,19.57,23.03,29.67,99.34
2020,5,25.41,1.81,0.0,74.0,20.51,21.46,29.8,99.25
2020,6,26.85,1.32,0.0,73.19,20.24,23.95,30.76,99.34
2020,7,27.37,1.4,0.0,70.12,20.35,24.29,31.72,99.35
2020,8,26.62,1.42,0.01,75.25,18.55,23.53,30.55,99.34
2020,9,26.73,1.96,0.0,76.12,18.81,23.76,30.9,99.32
2020,10,26.87,1.74,0.0,73.31,16.4,23.35,31.03,99.27
2020,11,27.05,1.37,0.0,67.62,19.3,23.33,31.69,99.34
2020,12,26.23,1.98,0.0,63.25,21.51,22.04,31.42,99.33
2020,13,25.98,1.82,0.0,66.62,19.22,21.78,30.78,99.25
2020,14,25.69,1.94,0.0,73.75,19.1,22.24,29.91,99.22
2020,15,25.92,1.89,0.0,74.12,18.64,22.51,30.28,99.22
2020,16,25.62,2.34,0.08,71.06,16.86,22.26,29.94,99.25
2020,17,25.46,2.55,0.02,70.62,19.33,22.04,29.82,99.28
2020,18,26.21,1.84,0.0,70.0,20.24,22.01,31.32,99.24
2020,19,27.25,1.59,0.02,71.81,19.69,23.37,31.69,99.26
2020,20,27.51,1.58,0.1,71.19,19.36,24.44,31.96,99.34
2020,21,27.5,1.47,0.03,65.56,18.45,23.55,32.38,99.38
2020,22,27.2,1.71,0.0,59.06,21.73,21.87,33.15,99.37
2020,23,27.37,1.74,0.0,61.69,22.09,22.76,33.37,99.32
2020,24,27.28,1.56,0.0,63.0,22.1,22.84,32.92,99.36
2020,25,26.85,1.23,0.0,58.88,20.24,21.99,32.44,99.4
2020,26,26.68,1.4,0.0,60.56,20.86,21.61,32.3,99.34
2020,27,26.91,1.63,0.0,70.38,19.36,23.16,31.56,99.35
2020,28,26.48,1.58,0.03,72.31,20.03,24.02,30.43,99.36
2020,29,26.48,1.96,0.01,70.06,21.63,23.11,31.31,99.45
2020,30,26.55,2.39,0.0,68.5,21.98,22.86,31.86,99.39
2020,31,25.94,2.35,0.0,70.88,21.88,22.29,31.01,99.27
2020,32,26.08,1.85,0.0,70.81,20.56,22.49,30.76,99.3
2020,33,26.55,1.79,0.01,69.25,17.97,23.41,30.74,99.48
2020,34,26.98,1.94,0.0,67.12,20.65,23.13,32.21,99.44
2020,35,26.87,1.89,0.0,67.06,19.69,23.15,31.53,99.3
2020,36,27.1,1.86,0.01,67.75,21.3,23.15,31.94,99.35
2020,37,27.1,2.33,0.0,67.94,19.72,23.79,31.43,99.36
2020,38,26.25,2.48,0.0,69.94,21.86,23.33,30.58,99.46
2020,39,25.14,2.19,0.0,66.5,23.62,21.63,29.69,99.52
2020,40,25.48,1.49,0.0,60.81,23.84,20.73,31.11,99.43
2020,41,27.42,1.69,0.0,61.75,22.79,23.16,32.71,99.32
2020,42,28.5,1.77,0.01,60.0,23.03,24.88,33.65,99.3
2020,43,28.1,2.01,0.0,59.06,22.53,23.8,33.71,99.48
2020,44,28.13,1.66,0.0,56.69,23.31,22.94,34.26,99.44
2020,45,28.02,1.31,0.0,58.88,22.06,23.12,33.54,99.31
2020,46,28.45,1.64,0.0,54.75,22.37,23.5,34.73,99.29
2020,47,28.01,1.55,0.0,54.19,21.92,22.69,34.12,99.33
2020,48,27.99,1.88,0.0,52.12,22.29,22.69,34.47,99.4
2020,49,27.94,1.77,0.0,51.75,22.22,22.05,34.62,99.37
2020,50,28.4,1.26,0.0,57.25,22.0,23.76,34.48,99.33
2020,51,28.76,1.43,0.0,58.19,23.17,24.22,34.73,99.27
2020,52,28.72,1.41,0.0,52.06,22.96,23.83,34.89,99.37
2020,53,28.81,1.66,0.0,47.25,24.44,22.91,35.76,99.42
2020,54,28.94,2.03,0.0,52.81,22.05,24.31,35.17,99.35
2020,55,28.8,1.83,0.0,56.25,20.69,24.04,35.02,99.19
2020,56,28.86,1.48,0.01,61.75,22.66,24.51,33.85,99.16
2020,57,29.22,1.77,0.0,60.38,22.14,24.9,34.78,99.15
2020,58,29.51,1.52,0.14,63.0,15.65,25.98,33.94,99.18
2020,59,29.68,1.63,0.24,60.81,19.37,27.0,33.53,99.08
2020,60,28.28,1.34,2.43,68.94,17.3,25.86,31.76,99.09
2020,61,28.56,1.47,3.69,68.31,21.06,25.48,32.88,99.18
2020,62,28.28,1.66,3.22,71.31,18.66,25.72,32.08,99.26
2020,63,28.43,2.45,0.37,68.56,21.52,25.48,32.76,99.31
2020,64,28.16,2.98,0.02,64.75,22.55,24.4,33.0,99.25
2020,65,27.35,2.74,0.0,67.19,23.01,24.32,31.89,99.18
2020,66,27.09,1.87,0.0,65.75,23.85,23.64,31.52,99.23
2020,67,27.51,1.77,0.0,63.81,24.3,23.48,32.06,99.33
2020,68,28.19,1.84,0.04,65.81,23.83,24.2,32.86,99.3
2020,69,28.62,2.43,0.06,67.06,23.19,25.37,33.07,99.19
2020,70,28.86,2.38,0.0,65.62,23.73,25.48,33.67,99.16
2020,71,28.38,2.27,0.0,68.19,24.58,25.49,32.8,99.23
2020,72,28.52,2.26,0.0,66.44,24.95,25.05,33.51,99.31
2020,73,28.79,3.16,0.0,64.0,24.2,24.93,34.35,99.28
2020,74,29.48,2.72,0.0,58.88,25.16,24.92,35.88,99.15
2020,75,29.65,2.28,0.0,56.94,25.06,24.95,35.82,99.09
2020,76,29.9,1.93,0.0,58.69,24.08,25.58,35.25,99.2
2020,77,30.37,1.84,0.02,57.75,25.18,25.92,36.29,99.28
2020,78,30.39,1.83,0.07,58.81,25.37,26.12,35.81,99.31
2020,79,30.23,2.06,0.12,59.62,24.7,26.26,35.37,99.26
2020,80,30.11,2.4,0.14,56.88,24.19,26.62,35.1,99.25
2020,81,29.58,2.69,0.0,51.75,25.69,24.97,35.37,99.22
2020,82,28.72,1.87,0.0,59.94,25.04,24.12,33.91,99.25
2020,83,29.76,2.0,0.05,61.12,25.04,25.65,35.61,99.13
2020,84,29.69,2.0,0.4,63.25,23.73,25.83,35.21,99.01
2020,85,29.15,1.71,0.77,66.44,20.84,26.06,33.69,99.03
2020,86,30.41,2.08,0.1,59.94,24.52,25.85,36.73,99.01
2020,87,30.12,2.04,0.09,65.0,23.5,26.44,35.21,99.22
2020,88,30.18,2.01,0.03,65.81,24.01,26.23,35.84,99.14
2020,89,30.16,1.8,0.03,64.31,23.7,25.91,35.97,99.06
2020,90,30.41,2.06,0.02,63.81,24.68,26.55,36.48,99.1
2020,91,30.65,1.98,0.02,61.31,25.45,26.09,36.99,99.14
2020,92,31.03,1.95,0.04,60.19,25.67,26.65,37.34,99.1
2020,93,30.27,2.02,0.09,65.56,24.79,26.76,35.22,99.06
2020,94,30.34,1.91,0.07,62.88,23.97,26.66,35.51,99.08
2020,95,30.45,1.85,0.08,64.5,24.36,26.95,35.67,99.17
2020,96,30.16,1.66,0.13,65.75,24.55,26.98,34.69,99.29
2020,97,29.52,1.78,0.94,68.25,22.29,26.81,33.13,99.3
2020,98,29.3,1.8,1.71,68.75,20.12,26.88,32.77,99.22
2020,99,30.08,2.08,0.78,61.94,23.71,25.86,35.31,99.23
2020,100,31.11,2.55,0.21,54.94,25.74,27.33,36.07,99.13
2020,101,30.15,1.94,1.01,60.5,25.08,26.83,34.6,99.2
2020,102,30.32,1.59,0.8,62.38,25.56,26.87,34.55,99.29
2020,103,30.45,1.52,0.81,63.69,24.21,26.8,35.1,99.25
2020,104,31.08,2.16,0.14,60.62,24.74,26.59,36.84,99.09
2020,105,31.44,2.08,0.05,57.0,25.02,26.73,37.87,99.08
2020,106,31.03,1.85,0.06,58.75,24.94,26.65,37.01,99.21
2020,107,30.08,1.98,0.98,65.56,23.71,26.63,34.81,99.16
2020,108,30.6,2.08,0.75,63.06,23.84,26.68,35.92,99.06
2020,109,30.08,1.88,1.52,67.81,23.24,27.25,34.13,99.12
2020,110,31.17,1.99,1.38,64.25,23.93,27.14,36.73,98.99
2020,111,30.5,1.7,2.6,68.81,25.22,27.53,34.62,99.03
2020,112,30.31,1.69,2.14,70.25,24.13,27.38,34.55,99.1
2020,113,29.84,1.68,1.06,70.62,24.24,27.21,33.82,99.09
2020,114,30.07,1.91,5.53,69.12,23.25,27.61,33.84,99.09
2020,115,29.2,1.92,4.18,73.12,20.07,26.78,34.02,99.08
2020,116,29.1,1.83,3.06,74.94,22.03,27.4,31.51,99.05
2020,117,29.71,1.64,1.61,73.0,22.28,27.11,33.51,99.07
2020,118,30.05,2.25,3.34,68.44,21.36,26.8,34.44,99.16
2020,119,30.23,2.5,0.19,67.44,24.21,25.91,35.64,99.06
2020,120,29.27,1.93,0.54,70.56,19.04,27.23,32.5,99.12
2020,121,29.57,1.62,0.69,69.81,23.93,27.24,33.51,99.18
2020,122,29.21,1.88,3.85,74.06,23.37,26.83,32.44,99.14
2020,123,29.72,2.16,1.82,73.0,22.16,26.55,34.69,98.98
2020,124,29.65,2.24,1.85,76.25,23.46,27.05,33.48,98.94
2020,125,30.14,2.01,4.47,74.25,21.56,27.37,34.6,99.02
2020,126,30.55,2.02,1.17,70.38,24.06,27.14,35.44,98.96
2020,127,29.57,1.52,2.28,76.06,21.65,27.36,32.97,98.96
2020,128,29.27,1.23,4.0,75.25,20.33,27.19,32.31,99.03
2020,129,28.72,1.45,7.82,79.38,14.91,27.19,31.34,99.03
2020,130,29.69,1.75,1.87,75.38,24.64,26.99,33.42,98.98
2020,131,30.05,1.84,0.46,73.0,21.35,27.58,33.78,99.01
2020,132,29.65,1.45,3.31,73.81,21.53,26.94,33.31,98.97
2020,133,29.89,1.39,5.22,75.19,22.79,27.36,33.79,98.94
2020,134,29.57,1.52,3.62,75.44,20.67,27.47,32.73,98.91
2020,135,29.91,2.01,2.27,74.19,24.58,27.29,33.96,98.83
2020,136,29.01,1.86,5.26,80.5,17.65,27.51,31.52,98.77
2020,137,28.8,2.09,3.03,82.19,19.42,27.05,31.3,98.76
2020,138,28.26,2.44,10.45,84.75,21.0,27.3,29.98,98.76
2020,139,27.62,2.95,17.13,86.62,6.53,27.01,28.78,98.77
2020,140,28.47,3.19,5.12,79.94,19.87,26.99,30.83,98.73
2020,141,28.96,1.77,4.07,75.5,21.24,26.58,32.89,98.74
2020,142,27.94,1.6,4.55,80.62,20.56,26.11,30.48,98.89
2020,143,28.65,2.05,0.54,75.12,24.06,25.89,32.35,98.93
2020,144,29.03,2.07,1.09,77.25,22.8,26.65,31.98,98.92
2020,145,28.59,2.07,2.71,80.0,24.03,26.99,31.03,99.0
2020,146,28.69,1.81,3.29,79.0,23.52,26.8,31.43,99.04
2020,147,28.72,1.79,4.4,81.25,22.83,27.08,30.83,99.05
2020,148,28.5,2.11,7.08,82.38,22.58,27.0,31.03,99.05
2020,149,28.44,2.45,1.23,75.75,22.64,26.48,31.76,98.99
2020,150,26.51,1.18,15.63,79.0,18.62,25.37,27.98,99.03
2020,151,27.76,1.75,7.98,80.75,15.87,25.09,30.94,98.92
2020,152,26.79,2.37,39.7,88.94,7.7,25.79,28.48,98.97
2020,153,26.93,2.4,30.03,87.31,13.25,25.48,28.76,99.01
2020,154,27.27,3.88,27.08,87.94,5.21,26.41,28.73,98.9
2020,155,26.94,3.34,28.85,88.56,11.33,26.19,27.93,98.91
2020,156,27.04,2.42,18.02,83.0,12.31,25.65,28.77,99.01
2020,157,27.46,2.11,3.48,80.81,18.78,25.59,29.93,99.07
2020,158,27.22,1.99,19.06,81.19,18.03,25.6,29.37,99.06
2020,159,27.4,1.87,6.44,82.19,19.84,25.58,29.95,98.99
2020,160,27.3,1.92,5.53,81.88,19.3,25.75,29.23,98.99
2020,161,27.07,1.75,8.58,83.44,16.06,25.26,29.65,98.99
2020,162,27.23,2.22,27.46,86.19,11.67,25.54,29.4,98.88
2020,163,26.25,2.63,43.41,87.94,14.01,24.82,27.67,98.72
2020,164,26.33,3.52,35.43,82.06,11.73,24.84,28.23,98.71
2020,165,26.87,2.8,11.09,81.06,11.13,24.74,29.37,98.77
2020,166,26.83,2.54,123.38,86.44,5.95,25.17,28.7,98.91
2020,167,27.23,2.61,38.43,88.56,11.91,25.93,28.85,98.77
2020,168,27.4,2.55,70.23,90.19,10.14,26.51,28.87,98.71
2020,169,26.73,2.38,63.01,92.12,8.64,25.62,27.86,98.76
2020,170,26.02,1.78,38.35,90.38,13.64,25.24,27.15,98.94
2020,171,26.62,1.59,24.4,88.94,18.27,24.93,28.51,98.99
2020,172,26.83,1.36,8.84,80.5,17.92,25.22,28.8,99.01
2020,173,26.39,2.15,20.35,89.12,14.74,24.44,28.23,98.9
2020,174,26.51,2.21,26.92,87.12,7.09,24.91,28.51,98.84
2020,175,26.25,1.39,1.64,83.94,20.19,24.34,28.49,98.89
2020,176,26.34,1.63,4.03,85.31,19.33,24.28,28.64,98.91
2020,177,26.33,1.96,7.17,84.38,19.89,25.12,28.32,98.76
2020,178,25.67,1.75,24.03,87.5,16.38,24.42,27.46,98.74
2020,179,26.3,2.3,26.59,88.06,14.95,24.83,28.09,98.79
2020,180,26.68,2.56,43.82,88.19,12.75,25.49,28.33,98.81
2020,181,26.69,2.52,44.99,90.25,6.75,25.48,28.13,98.72
2020,182,25.67,2.42,17.49,87.88,15.51,23.97,27.98,98.74
2020,183,25.98,1.79,33.14,87.5,14.6,24.6,27.98,98.86
2020,184,25.46,2.55,65.7,89.69,6.47,24.45,26.87,98.92
2020,185,26.05,3.18,127.66,89.25,9.12,24.73,27.3,98.87
2020,186,26.28,3.09,59.57,90.06,4.83,25.3,27.54,98.82
2020,187,26.12,2.36,31.65,89.69,18.19,24.96,27.03,98.82
2020,188,26.77,3.08,21.96,88.5,19.5,25.51,28.21,98.78
2020,189,25.93,2.91,49.41,89.44,13.89,24.05,27.66,98.89
2020,190,26.05,2.25,55.09,88.44,10.08,24.89,27.55,98.97
2020,191,25.59,2.44,54.05,91.5,8.44,24.51,27.26,98.89
2020,192,25.22,1.97,7.65,89.88,12.35,23.97,27.14,98.99
2020,193,25.62,1.77,38.83,87.38,16.7,24.29,27.48,98.96
2020,194,24.9,2.16,25.54,89.5,21.44,23.74,26.67,98.91
2020,195,24.94,2.23,22.27,90.19,13.34,23.5,26.7,98.84
2020,196,25.79,2.71,28.43,90.31,8.09,24.84,27.23,98.84
2020,197,25.41,2.45,53.69,90.06,5.31,24.62,26.52,98.82
2020,198,25.93,2.38,51.48,89.69,12.06,24.73,27.58,98.71
2020,199,25.9,2.43,83.06,89.62,3.32,24.84,27.58,98.7
2020,200,25.79,2.43,33.63,90.69,10.06,24.63,27.61,98.79
2020,201,25.35,1.95,46.69,90.62,20.53,24.33,26.68,98.89
2020,202,25.37,1.85,20.45,91.25,21.62,24.15,26.92,98.72
2020,203,25.9,1.18,10.57,86.31,21.09,24.23,28.44,98.74
2020,204,26.37,1.29,6.52,87.56,22.96,24.58,28.84,98.78
2020,205,26.14,1.57,33.45,90.44,18.51,24.83,28.26,98.74
2020,206,25.8,2.02,18.42,89.12,19.4,24.16,28.16,98.84
2020,207,25.39,2.56,23.55,90.25,15.55,23.9,26.85,98.85
2020,208,25.26,1.98,9.78,88.69,19.9,23.98,26.9,99.15
2020,209,25.62,1.41,15.43,87.94,22.42,24.06,27.58,99.08
2020,210,25.81,2.08,30.26,89.62,20.71,24.48,27.58,98.9
2020,211,25.52,2.84,33.22,91.81,10.93,24.7,26.9,98.78
2020,212,25.6,2.67,35.63,92.0,15.95,24.65,26.76,98.78
2020,213,25.61,2.16,36.59,91.56,15.92,24.54,27.11,98.79
2020,214,25.36,2.4,42.41,90.81,7.62,24.44,26.69,98.85
2020,215,25.57,3.05,111.64,92.44,5.26,24.67,26.64,98.83
2020,216,25.8,3.35,55.92,91.62,12.41,24.55,26.77,98.75
2020,217,25.56,3.96,73.23,91.69,11.04,25.06,26.27,98.68
2020,218,25.67,4.68,81.78,91.31,7.34,24.77,26.58,98.52
2020,219,26.46,3.94,60.41,91.88,15.33,25.77,27.59,98.6
2020,220,26.16,3.25,93.67,92.62,13.68,25.19,26.94,98.91
2020,221,25.3,3.22,55.47,90.62,4.23,24.52,26.55,99.0
2020,222,25.41,2.59,121.96,93.19,3.08,24.71,26.39,98.92
2020,223,25.49,2.78,76.51,94.38,6.24,24.68,26.41,98.88
2020,224,25.5,2.2,25.15,91.94,12.88,24.58,26.75,99.07
2020,225,25.5,2.21,20.1,91.94,18.16,24.64,26.81,99.14
2020,226,25.6,2.16,10.82,91.19,17.29,24.55,27.3,98.99
2020,227,25.64,2.09,12.38,89.75,17.25,24.39,27.3,98.86
2020,228,25.88,2.37,13.63,89.25,14.12,24.54,27.54,98.89
2020,229,25.9,2.16,36.37,89.94,8.22,24.8,27.67,98.93
2020,230,25.98,2.4,38.4,89.75,16.6,24.77,27.68,98.87
2020,231,25.95,2.06,31.67,90.31,16.61,24.68,27.82,98.93
2020,232,25.79,2.13,10.96,90.12,20.04,24.37,27.55,98.86
2020,233,26.01,2.14,14.2,89.69,17.99,24.69,28.01,98.85
2020,234,26.09,1.71,21.9,90.31,19.63,24.83,27.8,98.99
2020,235,26.2,1.56,18.34,90.12,17.51,24.84,28.2,99.08
2020,236,26.18,1.52,9.2,89.31,21.83,24.68,28.18,99.04
2020,237,26.19,1.77,3.26,87.5,22.11,24.62,28.34,99.06
2020,238,26.22,1.88,1.13,85.38,19.76,24.37,29.01,99.15
2020,239,25.94,1.81,0.76,85.0,19.62,23.96,28.36,99.16
2020,240,25.92,1.89,2.67,84.75,18.85,24.23,28.5,99.08
2020,241,25.68,1.47,4.78,85.88,22.24,24.07,27.79,98.99
2020,242,26.05,1.66,10.71,87.56,18.41,24.22,28.44,98.97
2020,243,26.18,1.64,9.18,89.06,21.72,25.08,28.0,99.0
2020,244,26.07,1.51,15.92,88.75,18.88,24.69,28.12,99.05
2020,245,25.85,2.07,30.1,92.31,17.02,24.76,27.18,99.01
2020,246,26.01,2.38,25.82,91.62,14.26,24.98,27.94,98.89
2020,247,25.57,1.61,47.5,89.25,21.4,24.53,27.08,98.85
2020,248,26.13,1.16,6.5,87.88,24.42,24.18,29.0,98.82
