Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,23.76,1.72,0.0,74.44,16.84,18.38,30.23,94.6
2020,2,24.46,0.89,0.0,71.75,17.72,18.92,31.16,94.7
2020,3,23.85,1.57,0.0,72.5,17.71,18.26,31.29,94.64
2020,4,22.44,2.0,0.0,72.88,20.39,17.48,30.22,94.53
2020,5,22.85,1.71,0.0,67.81,19.59,15.77,30.87,94.47
2020,6,23.93,3.82,0.0,73.5,15.52,18.26,30.64,94.62
2020,7,25.04,2.77,0.0,66.62,16.81,20.26,31.44,94.6
2020,8,24.11,2.01,0.0,71.06,18.06,17.76,31.48,94.52
2020,9,24.51,1.02,0.0,72.5,18.18,19.01,31.51,94.52
2020,10,24.28,2.76,0.0,68.38,17.71,18.38,31.33,94.51
2020,11,23.51,2.98,0.0,66.56,20.07,17.93,30.73,94.63
2020,12,22.83,2.71,0.0,63.5,19.98,17.31,30.25,94.58
2020,13,22.77,1.48,0.0,65.19,20.37,15.7,31.23,94.44
2020,14,23.08,0.47,0.0,65.06,20.21,16.98,31.13,94.38
2020,15,22.48,1.81,0.0,62.0,20.7,14.76,31.47,94.41
2020,16,21.65,1.43,0.0,62.62,18.74,13.95,30.4,94.44
2020,17,22.19,1.19,0.01,65.81,19.34,15.44,30.72,94.45
2020,18,23.51,1.59,0.71,66.19,21.0,16.24,32.01,94.46
2020,19,24.72,1.48,0.0,63.56,19.38,17.59,31.91,94.49
2020,20,25.19,2.34,0.0,55.62,19.2,18.43,32.69,94.56
2020,21,24.13,3.01,0.0,52.44,20.65,17.28,32.33,94.65
2020,22,23.34,3.68,0.0,53.88,21.62,15.89,32.4,94.7
2020,23,24.17,3.3,0.0,54.0,22.0,17.57,33.04,94.63
2020,24,23.8,2.96,0.0,48.75,22.27,16.84,32.77,94.64
2020,25,24.05,2.34,0.0,43.5,21.68,15.38,33.59,94.61
2020,26,24.66,1.61,0.0,43.5,22.04,16.09,33.7,94.52
2020,27,24.2,2.32,0.0,60.12,21.42,16.78,33.7,94.49
2020,28,23.32,2.57,0.0,75.44,17.31,18.83,30.69,94.53
2020,29,22.85,1.95,0.0,69.12,22.23,16.97,31.51,94.65
2020,30,23.36,1.72,0.0,66.88,22.58,15.73,33.1,94.57
2020,31,23.15,1.98,0.0,66.88,22.11,16.3,33.01,94.43
2020,32,23.56,2.27,0.0,70.0,20.68,16.69,32.19,94.46
2020,33,24.69,1.63,0.0,62.56,16.88,19.19,31.12,94.64
2020,34,25.29,1.3,0.0,55.19,20.72,18.23,33.19,94.62
2020,35,24.67,1.6,0.0,55.25,22.04,17.44,33.19,94.47
2020,36,24.87,1.86,0.0,57.94,21.3,17.24,33.15,94.51
2020,37,24.26,2.29,0.0,66.69,21.05,17.9,32.1,94.53
2020,38,23.13,2.49,0.0,70.94,18.87,17.76,31.37,94.61
2020,39,21.48,2.41,0.0,67.62,22.62,15.38,30.34,94.66
2020,40,23.39,1.3,0.0,59.62,23.37,14.87,32.51,94.6
2020,41,25.53,3.02,0.0,55.44,20.07,20.24,31.88,94.58
2020,42,25.5,3.73,0.0,50.94,22.67,18.94,33.55,94.62
2020,43,25.22,3.65,0.0,48.19,22.71,18.3,33.69,94.77
2020,44,25.21,2.8,0.0,46.06,23.39,17.49,34.1,94.71
2020,45,25.73,1.17,0.0,40.5,22.92,17.26,34.58,94.51
2020,46,26.18,0.66,0.0,32.44,23.43,18.82,35.56,94.51
2020,47,25.62,2.23,0.0,32.19,23.83,15.87,35.99,94.57
2020,48,25.62,2.87,0.0,31.69,23.64,16.63,35.76,94.63
2020,49,25.64,2.89,0.0,34.44,22.91,16.84,35.16,94.61
2020,50,26.28,2.04,0.0,35.5,23.77,17.05,35.66,94.53
2020,51,26.47,2.62,0.0,39.0,23.9,17.96,35.8,94.49
2020,52,25.69,3.35,0.0,33.5,24.57,17.25,35.37,94.66
2020,53,25.54,3.57,0.0,36.0,25.18,17.24,35.23,94.77
2020,54,25.94,3.55,0.0,40.88,23.15,17.72,35.56,94.66
2020,55,26.92,2.51,0.0,39.5,24.06,18.08,36.4,94.45
2020,56,27.19,1.41,0.0,36.88,21.55,18.76,35.87,94.35
2020,57,28.32,2.64,0.0,41.44,22.21,20.16,36.37,94.37
2020,58,28.39,2.29,0.0,44.56,20.25,21.48,35.02,94.4
2020,59,28.4,1.63,0.0,43.31,20.22,21.46,35.15,94.3
2020,60,28.4,1.73,0.79,46.06,18.71,22.56,34.64,94.28
2020,61,28.12,1.51,0.73,53.06,20.56,21.87,35.18,94.36
2020,62,28.22,1.73,0.23,53.31,21.19,22.12,35.63,94.42
2020,63,27.41,3.07,0.16,54.38,21.87,21.6,35.55,94.46
2020,64,26.01,2.9,0.0,55.0,23.11,18.87,34.65,94.43
2020,65,24.98,2.99,0.0,61.88,22.87,18.05,34.14,94.32
2020,66,24.65,3.22,0.01,63.62,24.17,18.18,33.26,94.38
2020,67,25.34,2.47,0.0,59.38,23.09,17.71,34.15,94.5
2020,68,27.16,2.1,0.0,57.56,22.88,20.39,35.4,94.46
2020,69,27.65,2.27,0.0,56.56,22.74,20.99,35.93,94.34
2020,70,27.84,2.39,0.0,54.88,24.4,20.31,36.89,94.32
2020,71,27.22,2.81,0.0,59.88,21.96,21.15,35.91,94.38
2020,72,27.24,2.51,0.0,58.38,25.46,20.52,35.76,94.47
2020,73,28.31,1.79,0.0,50.12,25.26,19.74,37.24,94.44
2020,74,29.0,1.43,0.0,44.56,25.85,20.5,38.23,94.33
2020,75,30.26,1.15,0.0,35.75,25.84,21.76,39.0,94.27
2020,76,30.69,1.54,0.0,35.75,25.06,22.43,38.66,94.38
2020,77,30.64,2.35,0.0,34.0,23.82,23.05,39.15,94.47
2020,78,29.94,1.68,0.07,45.06,24.93,22.03,38.26,94.5
2020,79,30.3,2.35,0.03,45.0,23.21,22.36,38.83,94.41
2020,80,29.55,2.84,0.0,38.0,25.48,23.09,38.04,94.41
2020,81,28.22,1.99,0.0,36.06,27.24,19.09,37.98,94.4
2020,82,28.4,1.58,0.0,46.81,26.71,19.19,38.26,94.39
2020,83,29.45,1.17,0.0,46.94,26.21,20.49,38.7,94.31
2020,84,30.58,1.36,0.04,42.75,24.47,22.28,38.94,94.16
2020,85,30.16,1.55,0.06,45.75,23.06,22.45,37.82,94.18
2020,86,30.61,2.34,0.01,40.31,24.98,22.44,38.95,94.22
2020,87,30.34,1.87,0.0,32.44,25.12,22.44,38.93,94.4
2020,88,30.0,2.91,0.0,24.44,26.59,21.01,39.56,94.34
2020,89,29.6,2.38,0.0,23.88,26.57,20.13,39.64,94.24
2020,90,29.91,2.1,0.0,40.31,25.96,20.79,39.3,94.3
2020,91,30.18,2.15,0.0,26.12,26.74,20.76,39.71,94.35
2020,92,30.51,1.79,0.0,29.94,26.96,21.55,39.75,94.32
2020,93,30.73,2.17,0.0,45.44,25.3,22.02,40.17,94.2
2020,94,31.51,1.87,0.0,45.12,24.16,24.12,40.04,94.23
2020,95,31.29,1.66,0.0,45.44,24.75,23.22,39.71,94.32
2020,96,30.11,2.6,0.49,53.44,24.85,23.4,38.14,94.44
2020,97,30.37,1.84,1.24,52.31,22.62,23.84,37.52,94.43
2020,98,28.46,2.11,10.42,61.0,18.83,23.05,35.26,94.4
2020,99,27.36,1.57,16.71,67.44,25.3,22.42,33.36,94.45
2020,100,27.48,2.04,0.09,54.94,26.59,20.39,35.73,94.38
2020,101,28.99,1.55,0.06,54.88,21.47,21.74,36.83,94.39
2020,102,28.2,2.19,0.16,51.62,25.72,23.01,34.84,94.52
2020,103,29.18,2.34,0.03,45.5,25.83,21.59,37.61,94.46
2020,104,29.38,2.5,0.0,43.25,26.16,21.15,38.48,94.31
2020,105,29.57,3.17,0.0,33.44,26.82,20.9,39.47,94.32
2020,106,29.74,2.52,0.0,35.25,25.91,20.9,39.1,94.42
2020,107,29.98,1.9,0.2,45.12,23.66,21.77,38.38,94.32
2020,108,30.83,1.5,0.26,49.38,24.65,22.88,39.08,94.24
2020,109,30.3,1.79,4.5,53.75,23.6,24.25,37.35,94.29
2020,110,30.53,2.52,1.97,52.81,25.43,23.94,38.42,94.22
2020,111,30.8,1.9,1.09,43.88,25.54,23.15,39.23,94.2
2020,112,30.33,1.91,2.18,53.31,23.85,23.87,37.69,94.28
2020,113,30.73,2.3,0.0,51.69,24.77,23.74,38.71,94.22
2020,114,30.58,3.22,0.57,54.25,25.64,24.19,39.3,94.23
2020,115,29.34,3.05,1.44,59.38,25.24,23.5,36.94,94.21
2020,116,29.64,3.15,1.01,59.62,24.5,23.78,37.62,94.2
2020,117,30.81,2.27,0.0,50.75,26.09,23.52,39.23,94.23
2020,118,30.83,3.39,0.0,45.12,27.0,23.26,39.67,94.32
2020,119,31.35,2.27,0.97,49.88,26.45,22.48,40.18,94.21
2020,120,29.4,2.36,0.65,55.44,13.7,25.01,35.05,94.28
2020,121,30.07,2.13,1.86,55.75,23.94,24.12,37.44,94.33
2020,122,29.45,2.0,4.68,61.31,20.13,24.5,36.37,94.32
2020,123,29.74,1.8,2.97,61.56,22.07,23.49,37.09,94.17
2020,124,29.9,1.59,2.82,62.38,20.36,24.26,36.29,94.16
2020,125,30.15,1.3,3.78,61.69,20.87,24.18,36.76,94.27
2020,126,30.46,1.69,0.35,56.44,19.0,24.58,37.97,94.19
2020,127,30.56,2.17,0.91,58.5,24.56,24.65,38.14,94.13
2020,128,27.65,1.75,6.58,69.44,22.44,24.52,31.92,94.25
2020,129,28.75,1.45,1.07,66.31,21.11,23.51,34.87,94.22
2020,130,29.78,1.5,0.01,62.06,24.08,24.04,36.42,94.21
2020,131,30.16,1.35,1.35,56.75,23.41,24.37,37.07,94.23
2020,132,30.3,2.05,2.08,51.25,24.85,23.66,37.65,94.22
2020,133,30.67,1.91,0.67,56.12,24.32,24.0,38.12,94.14
2020,134,30.51,2.38,1.0,56.19,23.44,24.48,37.43,94.09
2020,135,30.98,2.27,1.48,56.69,25.5,24.18,38.65,94.0
2020,136,28.81,2.09,2.25,67.19,21.96,25.1,34.18,93.98
2020,137,28.87,2.31,2.21,63.69,18.86,24.02,34.72,93.96
2020,138,28.0,3.23,2.73,69.62,17.91,24.74,33.42,93.94
2020,139,26.32,4.06,3.07,76.25,17.27,24.13,30.54,93.91
2020,140,27.44,4.61,3.18,72.12,20.35,23.33,33.71,93.87
2020,141,28.48,3.91,1.42,66.25,22.34,23.12,36.19,93.87
2020,142,28.73,4.02,0.0,63.31,23.98,23.19,36.94,94.0
2020,143,29.72,3.45,0.0,59.44,26.05,23.48,37.92,94.04
2020,144,30.4,3.59,0.0,59.25,25.92,23.83,39.36,94.03
2020,145,30.72,3.29,0.05,57.25,26.21,24.27,38.92,94.11
2020,146,29.88,3.41,1.97,61.0,24.03,24.33,37.21,94.18
2020,147,28.43,3.19,5.5,71.06,24.71,24.6,33.72,94.22
2020,148,28.2,3.66,1.72,69.44,22.57,24.08,34.5,94.18
2020,149,27.63,4.07,0.02,68.75,25.65,24.57,32.95,94.14
2020,150,28.22,4.15,4.15,68.81,25.74,23.82,35.15,94.09
2020,151,27.44,2.17,13.29,75.81,20.8,23.98,32.33,94.12
2020,152,26.23,2.51,4.74,80.62,16.78,23.44,30.1,94.13
2020,153,25.54,1.95,13.09,81.69,12.51,22.61,30.22,94.2
2020,154,25.51,3.61,4.57,81.06,16.29,22.87,29.57,94.08
2020,155,25.05,4.98,6.71,82.69,12.11,22.43,28.94,94.01
2020,156,25.45,4.39,6.34,78.0,14.68,21.87,30.58,94.13
2020,157,25.73,4.17,1.16,75.06,19.45,21.81,31.75,94.21
2020,158,25.23,4.03,2.9,73.44,23.51,21.62,30.85,94.2
2020,159,26.02,4.16,0.69,74.38,21.5,21.55,32.33,94.13
2020,160,25.66,4.34,0.71,72.38,23.73,21.53,32.08,94.14
2020,161,26.13,4.14,0.46,65.75,21.04,21.49,33.1,94.14
2020,162,26.32,4.57,3.47,74.81,19.09,22.32,32.62,94.0
2020,163,24.25,4.31,10.03,83.0,15.55,22.08,27.07,93.84
2020,164,23.73,4.87,10.71,83.06,13.64,21.44,27.23,93.77
