Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,23.44,1.94,0.0,74.31,16.27,18.37,30.28,94.5
2020,2,24.03,1.05,0.02,72.19,16.32,18.46,30.62,94.6
2020,3,22.82,1.64,0.0,67.62,17.87,16.52,31.04,94.53
2020,4,21.58,1.96,0.0,65.12,19.59,15.05,30.48,94.39
2020,5,22.02,1.91,0.0,62.94,16.55,13.65,30.73,94.37
2020,6,23.18,3.27,0.0,72.06,12.7,17.28,30.06,94.55
2020,7,24.5,2.52,0.0,70.0,15.07,19.26,31.34,94.51
2020,8,24.26,1.91,0.0,70.88,14.71,18.49,31.8,94.4
2020,9,24.16,1.3,0.0,69.62,16.94,18.41,31.58,94.41
2020,10,23.92,2.83,0.0,64.56,15.52,18.44,30.88,94.42
2020,11,23.58,2.53,0.0,65.25,16.03,18.54,30.74,94.55
2020,12,22.97,2.38,0.0,62.56,16.27,18.0,30.17,94.49
2020,13,22.89,0.88,0.0,56.5,19.3,16.23,31.5,94.32
2020,14,22.86,0.72,0.0,61.62,18.96,15.99,31.42,94.26
2020,15,22.18,1.89,0.0,59.12,19.61,14.56,31.64,94.3
2020,16,21.92,1.25,0.0,59.5,18.47,14.44,30.5,94.32
2020,17,22.43,1.3,0.06,57.69,20.02,14.87,31.12,94.33
2020,18,23.38,1.66,1.86,64.5,19.43,15.58,32.0,94.35
2020,19,24.41,1.16,0.0,61.69,18.23,17.23,31.9,94.4
2020,20,25.18,1.77,0.0,54.81,18.44,17.36,32.76,94.45
2020,21,24.43,2.48,0.0,52.38,19.15,17.56,32.35,94.55
2020,22,23.16,3.12,0.0,51.81,19.87,16.01,32.34,94.62
2020,23,23.45,2.95,0.0,52.56,20.25,17.08,32.6,94.56
2020,24,23.3,2.44,0.0,49.81,20.75,15.37,32.88,94.55
2020,25,23.78,1.88,0.0,44.5,19.6,14.87,33.75,94.51
2020,26,24.59,1.45,0.0,43.75,20.57,15.87,34.0,94.41
2020,27,25.07,2.62,0.0,50.44,20.35,16.91,34.56,94.34
2020,28,23.75,2.89,0.0,66.19,17.79,17.71,32.15,94.38
2020,29,23.12,2.21,0.0,59.5,22.07,16.2,32.48,94.51
2020,30,23.98,1.88,0.0,52.38,21.64,15.31,34.18,94.43
2020,31,23.98,2.19,0.0,46.81,21.56,15.14,34.47,94.28
2020,32,24.1,2.19,0.0,53.5,20.61,15.56,33.4,94.32
2020,33,25.26,1.83,0.0,53.12,16.97,18.81,32.32,94.52
2020,34,25.97,1.29,0.0,48.94,19.17,18.71,33.54,94.5
2020,35,25.51,1.32,0.0,46.25,20.9,18.11,33.69,94.35
2020,36,25.64,1.91,0.0,48.5,20.26,17.66,34.0,94.38
2020,37,25.39,2.45,0.0,52.75,20.94,17.99,33.73,94.38
2020,38,24.02,2.66,0.0,55.56,21.21,16.67,32.81,94.45
2020,39,22.81,2.52,0.0,48.0,22.22,15.23,31.92,94.49
2020,40,23.6,2.33,0.0,52.81,19.88,14.84,32.15,94.48
2020,41,24.92,3.37,0.0,55.5,17.74,18.79,31.65,94.51
2020,42,25.3,3.82,0.0,53.31,19.23,18.66,32.72,94.56
2020,43,25.15,3.24,0.0,50.56,20.91,18.35,33.32,94.7
2020,44,25.31,2.61,0.0,44.62,20.95,17.92,33.93,94.63
2020,45,25.63,1.63,0.0,32.19,22.08,17.02,34.76,94.42
2020,46,26.63,1.08,0.0,26.25,22.3,18.01,36.11,94.39
2020,47,25.81,2.16,0.0,30.31,22.07,17.4,35.57,94.48
2020,48,25.77,2.55,0.0,31.81,22.3,16.59,35.62,94.54
2020,49,25.4,2.48,0.0,32.44,22.18,17.15,34.59,94.53
2020,50,26.03,1.93,0.0,30.06,22.0,16.32,35.96,94.42
2020,51,26.2,2.66,0.0,39.88,22.58,17.63,35.58,94.39
2020,52,25.76,3.23,0.0,35.25,23.02,17.37,35.08,94.57
2020,53,25.63,3.52,0.0,36.69,23.31,16.91,35.12,94.69
2020,54,25.79,3.27,0.0,41.38,23.77,17.08,35.08,94.57
2020,55,26.99,2.39,0.0,39.19,23.67,18.34,36.3,94.34
2020,56,27.21,0.93,0.0,30.88,20.94,18.99,36.12,94.24
2020,57,26.67,3.1,0.0,30.38,21.6,18.89,35.19,94.33
2020,58,26.99,2.59,0.0,35.38,18.19,18.88,34.63,94.34
2020,59,28.01,2.43,0.0,38.69,19.18,19.97,35.55,94.2
2020,60,28.12,2.16,1.03,42.69,18.34,22.19,34.18,94.18
2020,61,28.59,1.69,1.77,43.06,19.35,21.59,35.18,94.24
2020,62,28.35,1.12,0.51,44.25,19.85,22.65,35.18,94.31
2020,63,28.53,2.41,0.03,40.44,21.33,22.26,35.94,94.29
2020,64,27.01,3.12,0.0,42.56,23.83,19.37,35.84,94.26
2020,65,25.81,3.07,0.0,49.06,21.62,17.55,34.76,94.15
2020,66,25.19,3.48,0.0,53.25,24.45,17.34,34.12,94.22
2020,67,26.23,2.77,0.0,49.94,19.97,17.51,34.94,94.35
2020,68,28.07,2.01,0.03,45.06,21.09,20.97,35.8,94.32
2020,69,28.56,2.09,0.01,45.81,20.86,20.98,36.31,94.2
2020,70,28.66,2.38,0.0,44.44,23.64,20.44,37.46,94.17
2020,71,27.84,2.73,0.0,51.44,22.06,21.27,35.68,94.23
2020,72,27.76,2.62,0.0,48.69,23.59,20.33,35.99,94.33
2020,73,28.47,1.97,0.0,45.25,24.49,19.9,37.24,94.31
2020,74,29.85,1.77,0.0,33.25,24.5,21.22,38.51,94.19
2020,75,30.73,1.99,0.0,30.0,24.63,21.92,38.87,94.15
2020,76,31.02,2.48,0.0,33.31,24.04,22.62,38.55,94.27
2020,77,30.84,2.86,0.0,33.31,22.09,22.7,38.55,94.37
2020,78,30.81,1.84,1.0,35.81,21.68,23.05,37.98,94.37
2020,79,30.88,1.9,0.02,35.75,23.12,23.11,37.76,94.28
2020,80,30.13,3.1,0.0,25.06,25.35,23.59,38.4,94.27
2020,81,28.51,1.9,0.0,28.19,26.46,18.87,38.0,94.26
2020,82,28.75,1.78,0.0,25.19,26.55,18.85,38.15,94.26
2020,83,29.67,1.23,0.0,38.38,25.4,19.99,38.64,94.17
2020,84,31.26,2.01,0.28,35.06,21.71,23.39,38.73,94.04
2020,85,30.83,1.94,2.39,39.5,20.93,23.72,37.59,94.05
2020,86,30.88,2.57,0.02,34.56,24.42,23.24,38.51,94.11
2020,87,30.3,2.59,0.0,30.19,25.63,22.53,38.58,94.29
2020,88,29.79,2.9,0.0,25.44,26.42,20.65,39.17,94.23
2020,89,29.88,2.45,0.0,23.62,25.21,20.6,39.37,94.12
