Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,24.58,3.07,0.08,61.06,12.42,19.45,31.25,95.48
2020,2,24.43,2.15,4.52,70.12,11.69,20.17,30.18,95.58
2020,3,23.73,1.37,0.62,67.38,17.56,19.0,30.63,95.47
2020,4,22.69,1.8,0.0,64.88,15.08,16.27,30.69,95.33
2020,5,21.34,3.3,0.0,66.44,15.69,15.71,28.35,95.46
2020,6,22.48,3.05,0.0,61.38,16.09,14.69,30.65,95.59
2020,7,24.48,2.2,0.0,65.75,15.42,18.35,31.48,95.51
2020,8,24.98,2.57,0.0,66.69,10.96,20.08,31.29,95.35
2020,9,24.55,1.62,0.0,62.19,13.32,19.62,30.99,95.4
2020,10,22.7,3.22,0.0,59.5,14.66,16.84,29.87,95.5
2020,11,21.95,2.7,0.0,54.94,14.77,15.18,30.16,95.62
2020,12,21.69,2.15,0.0,47.88,18.87,14.44,31.03,95.5
2020,13,22.34,1.31,0.0,39.06,18.94,13.62,31.56,95.3
2020,14,22.28,1.88,0.0,44.25,18.01,13.91,31.27,95.25
2020,15,22.4,2.99,0.0,50.62,18.6,15.28,31.58,95.28
2020,16,22.12,2.29,0.0,54.62,17.48,15.14,30.17,95.3
2020,17,22.66,1.58,0.0,51.31,16.93,14.74,30.39,95.32
2020,18,24.1,1.77,0.0,56.5,16.72,16.38,31.5,95.35
2020,19,24.69,1.62,0.0,56.88,17.02,18.51,31.32,95.41
2020,20,25.03,1.99,0.0,52.38,15.9,17.6,32.2,95.47
2020,21,24.92,2.86,0.0,48.94,18.67,18.67,32.57,95.55
2020,22,24.22,3.04,0.0,47.69,19.11,17.15,33.09,95.64
2020,23,24.03,2.44,0.0,46.81,19.3,16.18,33.32,95.57
2020,24,24.43,2.46,0.0,43.94,19.25,16.51,33.54,95.56
2020,25,24.88,1.62,0.0,42.31,18.48,16.75,33.95,95.5
2020,26,25.54,1.78,0.0,38.5,19.13,18.04,34.48,95.39
2020,27,26.0,2.34,0.0,38.81,18.18,17.28,34.61,95.25
2020,28,25.5,2.21,0.0,45.5,17.64,18.73,32.73,95.23
2020,29,24.28,2.64,0.0,46.62,19.87,17.39,32.39,95.44
2020,30,24.39,2.33,0.0,40.06,19.79,16.4,33.49,95.4
2020,31,24.73,2.38,0.0,40.5,19.17,16.08,33.31,95.23
2020,32,26.0,2.73,0.0,45.12,19.13,18.88,33.6,95.26
2020,33,26.32,2.79,0.03,50.12,14.58,21.01,32.33,95.51
2020,34,26.17,2.64,0.0,47.62,17.03,20.9,32.04,95.5
2020,35,25.94,2.51,0.0,46.94,19.68,18.98,32.83,95.34
2020,36,26.87,1.61,0.0,39.5,18.41,21.23,32.95,95.34
2020,37,27.11,2.55,0.0,38.56,18.22,21.4,34.01,95.26
2020,38,25.92,2.12,0.0,37.31,18.71,18.76,33.5,95.32
2020,39,25.42,2.94,0.14,43.69,16.09,18.74,32.9,95.4
2020,40,23.4,4.14,0.11,56.81,14.51,17.38,30.48,95.59
2020,41,24.91,3.44,0.0,55.81,15.84,18.87,31.32,95.58
2020,42,25.23,3.21,0.0,56.62,16.17,19.62,31.8,95.62
2020,43,25.58,2.48,0.0,49.06,15.33,18.6,33.18,95.74
2020,44,25.12,2.64,0.0,36.19,20.94,17.81,34.08,95.64
2020,45,25.44,1.71,0.0,26.62,22.25,15.9,35.26,95.4
2020,46,26.53,1.24,0.0,25.0,21.96,17.08,35.92,95.36
2020,47,26.27,2.12,0.0,28.38,21.07,17.17,35.98,95.47
2020,48,26.56,2.88,0.0,25.56,21.92,17.72,36.28,95.56
2020,49,25.98,2.77,0.0,20.81,23.21,17.66,35.66,95.51
2020,50,26.01,1.56,0.0,21.69,21.4,16.7,35.28,95.42
2020,51,25.96,2.78,0.0,43.69,21.73,17.73,35.03,95.39
2020,52,25.98,3.03,0.0,38.81,21.54,17.83,34.83,95.57
2020,53,26.27,2.99,0.0,36.12,22.26,17.49,35.62,95.68
2020,54,26.33,2.52,0.0,36.81,22.27,17.8,35.49,95.55
2020,55,27.48,2.08,0.0,39.69,21.97,18.88,35.55,95.29
2020,56,27.25,2.25,0.0,25.31,21.76,20.75,35.15,95.22
2020,57,25.53,3.4,0.0,20.38,22.11,17.56,34.3,95.38
2020,58,25.88,2.79,0.0,21.56,23.28,17.26,35.07,95.37
2020,59,26.36,2.18,0.0,28.62,22.36,17.23,35.05,95.22
2020,60,27.3,1.92,0.5,42.88,20.37,20.19,33.26,95.17
2020,61,28.5,1.77,4.35,42.12,20.31,21.63,35.15,95.2
2020,62,27.55,1.53,5.7,49.62,21.05,21.98,33.51,95.28
2020,63,27.48,1.71,0.03,43.62,22.02,19.33,34.87,95.2
2020,64,26.68,2.41,0.0,34.06,23.55,18.69,35.22,95.15
2020,65,26.55,1.7,0.0,28.25,21.74,16.87,34.65,95.02
2020,66,25.66,3.01,0.0,34.25,23.81,17.74,33.83,95.08
2020,67,27.05,2.05,0.0,40.12,19.58,17.75,34.5,95.27
2020,68,29.43,1.94,0.18,42.81,19.02,23.65,34.98,95.25
2020,69,30.18,1.98,0.02,41.44,20.47,24.51,35.87,95.1
2020,70,30.57,2.13,0.0,35.75,22.9,23.12,37.39,95.03
2020,71,29.16,2.19,0.41,42.25,20.72,21.73,35.55,95.12
2020,72,28.8,1.81,0.3,36.19,22.38,21.23,35.44,95.24
2020,73,30.76,2.76,0.0,33.88,22.76,24.01,37.23,95.21
2020,74,30.87,1.77,0.0,30.25,21.62,24.56,37.55,95.17
2020,75,30.47,1.96,0.0,35.19,22.43,22.34,37.58,95.18
2020,76,30.5,1.83,0.04,35.06,23.18,23.57,37.2,95.3
2020,77,30.59,2.27,0.06,33.5,23.0,22.56,37.94,95.36
2020,78,30.89,2.1,0.63,31.94,21.46,24.47,37.55,95.35
2020,79,30.0,1.09,4.34,38.88,20.72,25.89,35.97,95.24
2020,80,29.55,1.39,0.01,31.25,24.29,21.64,37.98,95.16
2020,81,28.58,3.16,0.0,22.12,25.93,20.25,37.87,95.18
2020,82,28.83,2.55,0.0,21.5,25.75,19.46,37.63,95.22
2020,83,30.01,1.56,0.0,27.5,23.21,20.4,37.86,95.14
2020,84,30.96,1.87,1.26,36.69,21.42,23.25,37.78,95.02
2020,85,31.65,2.49,0.1,33.25,16.94,24.72,38.12,95.01
2020,86,31.54,2.58,0.0,32.94,23.36,24.66,38.41,95.11
2020,87,30.84,2.57,0.0,29.56,24.54,23.26,38.94,95.26
2020,88,31.05,1.09,0.43,28.31,24.9,21.07,38.98,95.19
2020,89,32.18,1.54,0.07,27.75,24.1,24.4,39.58,95.07
2020,90,31.97,2.2,0.42,30.56,23.68,24.35,39.32,95.15
2020,91,31.94,1.77,0.21,30.25,23.65,23.44,39.44,95.21
2020,92,32.33,1.62,0.01,29.88,22.21,26.0,38.56,95.16
2020,93,33.55,1.63,0.02,26.75,21.69,26.26,40.0,94.97
2020,94,33.59,2.65,0.17,27.88,19.24,28.1,39.49,95.04
2020,95,31.71,3.05,0.24,32.44,20.28,27.56,37.11,95.22
2020,96,32.56,2.59,0.04,28.94,22.78,25.56,39.87,95.22
2020,97,33.12,2.19,2.44,34.12,21.56,27.03,39.4,95.19
2020,98,32.52,2.41,1.1,34.06,22.63,25.6,39.42,95.07
2020,99,31.29,2.67,0.03,26.75,26.18,23.11,39.7,95.13
2020,100,30.76,2.62,0.14,22.19,25.78,21.78,39.55,95.11
2020,101,31.09,2.98,1.26,38.88,22.18,23.58,38.24,95.24
2020,102,32.19,2.87,0.0,29.75,25.65,24.79,39.37,95.34
2020,103,32.69,1.93,0.0,28.81,23.33,25.34,40.25,95.25
2020,104,33.04,1.96,0.12,29.44,22.23,25.64,39.79,95.11
2020,105,33.46,2.52,0.0,25.12,24.01,26.0,40.65,95.14
2020,106,33.23,2.32,0.0,24.5,23.94,25.03,40.41,95.22
2020,107,33.61,2.21,0.0,24.75,23.19,25.6,40.62,95.07
2020,108,34.19,1.96,0.2,27.44,22.61,26.79,41.01,94.98
2020,109,34.64,2.5,0.64,29.5,20.55,27.69,41.15,95.05
2020,110,34.0,1.89,0.55,33.5,21.55,27.09,40.12,95.07
2020,111,33.83,2.14,1.97,32.12,21.71,28.2,40.01,95.06
2020,112,34.03,2.52,0.19,31.38,24.29,26.15,40.48,95.03
2020,113,34.35,1.05,0.04,25.0,25.53,26.43,41.55,94.89
2020,114,35.24,1.62,0.0,23.75,25.1,26.42,42.78,94.81
2020,115,35.57,1.62,0.05,24.94,24.83,27.86,42.19,94.77
2020,116,34.65,3.34,0.0,26.0,26.45,27.2,41.65,94.82
2020,117,33.74,2.45,0.0,23.5,27.42,26.08,41.31,94.91
2020,118,33.9,3.05,0.0,22.44,24.74,25.37,41.73,94.98
2020,119,33.42,3.31,0.29,38.69,22.01,26.44,40.03,95.03
2020,120,33.94,2.28,0.05,32.75,23.65,26.79,40.75,95.0
2020,121,34.16,1.95,0.0,32.69,22.3,27.76,40.15,95.04
2020,122,35.48,1.64,0.88,28.75,23.53,28.62,41.8,94.97
2020,123,35.21,1.96,2.64,29.31,23.29,28.6,41.84,94.81
2020,124,35.08,1.94,0.43,27.88,25.11,28.11,42.54,94.83
2020,125,35.62,1.41,0.19,26.88,26.02,27.12,42.97,94.89
2020,126,35.82,1.55,0.0,25.94,25.66,28.61,42.51,94.83
2020,127,36.41,1.73,0.08,25.94,24.01,29.64,42.8,94.77
2020,128,35.28,3.51,0.88,34.81,24.28,29.17,41.07,94.88
2020,129,33.01,2.64,27.57,48.5,22.46,27.74,38.69,94.93
2020,130,31.97,1.79,1.88,54.75,21.4,25.33,38.39,94.96
2020,131,30.66,2.12,0.33,54.5,21.04,26.46,35.73,95.08
2020,132,31.92,2.34,0.0,49.94,22.82,25.48,38.17,95.05
2020,133,31.88,1.45,1.7,51.31,24.79,24.81,38.44,94.94
2020,134,31.71,2.52,0.78,52.0,19.68,25.76,38.02,94.87
2020,135,32.53,2.23,0.17,48.31,23.7,25.83,39.37,94.83
2020,136,33.15,1.21,0.49,44.06,22.31,26.8,39.32,94.77
2020,137,33.19,1.97,1.22,43.06,18.83,27.1,38.87,94.71
2020,138,33.04,1.97,0.5,43.31,20.14,28.66,38.94,94.65
2020,139,33.34,3.8,0.03,36.56,21.53,26.66,41.42,94.42
2020,140,33.44,4.87,0.0,29.75,20.08,27.44,41.52,94.35
2020,141,34.0,4.09,0.0,27.19,24.83,25.29,42.4,94.39
2020,142,34.23,4.38,0.0,22.75,26.08,25.98,42.78,94.54
2020,143,35.01,2.74,0.0,21.31,25.91,25.61,43.32,94.61
2020,144,36.08,3.2,0.0,19.69,26.0,27.47,44.1,94.62
2020,145,35.98,1.87,0.0,25.06,25.43,28.66,43.69,94.73
2020,146,36.56,1.92,0.0,27.12,24.64,29.3,43.59,94.77
2020,147,36.73,2.72,0.0,31.62,25.06,31.13,42.34,94.76
2020,148,37.34,2.74,0.0,26.25,26.92,29.66,44.01,94.66
