Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,21.62,1.57,0.0,78.0,15.88,18.9,25.08,91.67
2020,2,23.0,1.02,0.0,77.06,15.97,17.87,29.13,91.72
2020,3,23.05,1.12,0.0,77.25,17.15,17.83,29.18,91.66
2020,4,22.94,1.0,0.0,74.94,18.55,18.15,29.8,91.52
2020,5,22.7,1.38,0.0,74.56,18.05,16.52,29.3,91.49
2020,6,23.24,2.43,0.0,74.19,13.94,19.73,29.22,91.62
2020,7,22.29,2.27,0.0,70.88,16.45,17.73,29.26,91.64
2020,8,22.3,1.14,0.0,67.06,20.07,16.62,29.13,91.58
2020,9,22.34,0.76,0.0,68.69,18.26,15.08,29.36,91.56
2020,10,21.99,2.1,0.0,71.38,18.28,15.4,29.08,91.54
2020,11,21.23,2.06,0.0,68.12,20.3,16.25,29.01,91.63
2020,12,20.86,1.8,0.0,67.56,18.81,15.24,28.47,91.6
2020,13,21.15,1.01,0.0,69.25,19.69,13.76,29.05,91.47
2020,14,21.69,0.83,0.0,68.62,21.29,14.7,29.45,91.42
2020,15,21.0,1.39,0.0,66.06,21.55,14.58,29.0,91.46
2020,16,20.16,1.34,0.0,65.88,21.24,12.66,28.44,91.47
2020,17,21.03,1.36,0.0,67.94,19.49,13.64,29.18,91.48
2020,18,22.44,2.06,0.03,70.94,20.09,16.13,29.98,91.5
2020,19,23.62,1.68,0.04,71.56,18.76,18.74,29.98,91.53
2020,20,23.41,1.8,0.0,63.75,20.3,17.76,30.7,91.62
2020,21,22.05,2.02,0.0,58.56,21.72,15.11,30.6,91.69
2020,22,22.2,2.3,0.0,59.56,21.86,14.75,31.36,91.7
2020,23,22.93,2.23,0.0,59.25,22.13,16.73,31.32,91.65
2020,24,22.51,2.02,0.0,56.06,21.46,15.62,31.37,91.66
2020,25,21.76,1.67,0.0,49.81,22.34,13.08,31.41,91.67
2020,26,22.23,1.41,0.0,46.19,22.15,13.34,31.97,91.58
2020,27,23.26,1.45,0.0,53.25,21.64,15.68,32.25,91.54
2020,28,23.51,1.73,0.0,69.0,18.82,17.98,31.2,91.55
2020,29,23.88,0.91,0.0,63.75,20.4,17.12,31.87,91.62
2020,30,24.55,1.12,0.0,58.25,22.4,18.25,32.68,91.57
2020,31,24.08,0.73,0.0,57.5,22.44,17.08,32.55,91.45
2020,32,23.89,1.73,0.0,58.25,20.35,17.4,31.05,91.48
2020,33,23.54,1.84,0.0,57.69,18.58,17.59,30.15,91.68
2020,34,23.5,1.64,0.0,53.62,22.21,16.02,31.3,91.66
2020,35,23.33,1.62,0.0,54.94,23.16,16.6,31.35,91.52
2020,36,23.8,1.59,0.01,58.5,21.85,17.76,31.05,91.57
2020,37,24.49,0.95,0.0,60.44,20.44,18.46,31.33,91.55
2020,38,24.23,1.92,0.0,61.25,17.79,18.99,31.89,91.6
2020,39,22.82,1.78,0.0,62.0,22.69,17.26,31.44,91.64
2020,40,23.31,1.49,0.0,57.94,19.69,15.59,30.95,91.61
2020,41,24.34,2.34,0.0,57.88,21.58,18.77,30.88,91.6
2020,42,24.5,2.95,0.0,52.62,23.72,18.5,32.19,91.63
2020,43,23.49,2.52,0.0,51.56,23.24,16.36,32.26,91.78
2020,44,23.56,2.11,0.0,48.12,22.46,15.01,32.91,91.73
2020,45,23.88,1.05,0.0,46.75,23.24,15.29,32.97,91.55
2020,46,24.55,1.15,0.0,36.88,23.92,15.69,34.05,91.56
2020,47,23.98,2.0,0.0,34.69,23.73,15.32,33.87,91.62
2020,48,23.41,1.91,0.0,34.88,22.93,14.1,33.94,91.68
2020,49,23.47,2.41,0.0,39.0,24.34,14.07,33.92,91.66
2020,50,24.36,1.73,0.0,42.81,23.54,15.65,33.8,91.59
2020,51,24.19,2.17,0.0,44.0,24.06,16.05,34.12,91.56
2020,52,23.48,2.2,0.0,39.69,24.44,15.08,34.08,91.69
2020,53,23.81,2.21,0.0,44.44,25.07,14.43,33.99,91.78
2020,54,24.9,2.07,0.0,45.19,23.16,17.43,34.15,91.67
2020,55,25.07,1.94,0.0,48.88,22.25,17.58,34.44,91.5
