Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,23.61,1.8,0.0,76.38,16.84,18.46,30.12,94.76
2020,2,24.29,0.82,0.0,73.94,17.72,18.7,30.66,94.86
2020,3,23.39,1.56,0.0,71.69,17.71,17.44,31.07,94.79
2020,4,21.87,1.84,0.0,70.56,20.39,16.01,30.33,94.66
2020,5,22.05,1.71,0.0,67.06,19.59,14.21,30.55,94.64
2020,6,23.4,3.58,0.0,74.12,15.52,17.69,30.39,94.8
2020,7,24.76,2.61,0.0,69.94,16.81,19.96,31.28,94.76
2020,8,24.26,1.93,0.0,72.31,18.06,18.42,31.75,94.67
2020,9,24.3,1.05,0.0,72.81,18.18,18.74,31.45,94.68
2020,10,23.98,2.86,0.0,68.5,17.71,17.95,30.87,94.69
2020,11,23.51,2.63,0.0,67.81,20.07,18.25,30.65,94.81
2020,12,22.94,2.55,0.0,65.0,19.98,18.07,30.01,94.76
2020,13,22.77,1.2,0.0,62.06,20.37,15.73,31.34,94.6
2020,14,22.98,0.39,0.0,64.81,20.21,16.6,31.17,94.54
2020,15,22.4,1.84,0.0,61.38,20.7,14.69,31.75,94.56
2020,16,22.01,1.42,0.0,61.31,18.74,14.48,30.67,94.59
2020,17,22.4,1.27,0.06,62.12,19.34,15.27,31.19,94.6
2020,18,23.56,1.65,1.59,66.31,21.0,16.19,32.22,94.61
2020,19,24.62,1.33,0.0,63.5,19.38,17.3,32.17,94.66
2020,20,25.34,2.04,0.0,55.44,19.2,17.98,32.96,94.72
2020,21,24.4,2.64,0.0,53.25,20.65,17.51,32.51,94.81
2020,22,23.43,3.24,0.0,53.69,21.62,16.18,32.58,94.88
2020,23,23.93,2.94,0.0,54.06,22.0,17.51,32.94,94.81
2020,24,23.81,2.65,0.0,50.25,22.27,16.46,33.05,94.81
2020,25,24.05,2.07,0.0,44.31,21.68,15.06,33.9,94.78
2020,26,24.96,1.61,0.0,42.81,22.04,16.02,34.06,94.67
2020,27,24.87,2.41,0.0,54.5,21.42,16.95,34.37,94.62
2020,28,23.83,2.62,0.0,69.75,17.31,18.98,31.6,94.65
2020,29,23.17,2.04,0.0,64.38,22.23,16.7,32.25,94.78
2020,30,23.94,1.84,0.0,58.0,22.58,15.64,34.1,94.7
2020,31,23.76,1.99,0.0,55.56,22.11,15.35,34.03,94.56
2020,32,23.99,2.12,0.0,62.12,20.68,16.08,32.97,94.6
2020,33,25.28,1.75,0.0,57.25,16.88,19.23,32.19,94.78
2020,34,25.94,1.26,0.0,51.44,20.72,18.53,33.68,94.77
2020,35,25.72,1.41,0.0,48.12,22.04,18.03,33.79,94.62
2020,36,25.44,1.9,0.0,53.06,21.3,17.27,33.78,94.66
2020,37,25.2,2.27,0.0,58.25,21.05,18.05,33.37,94.66
2020,38,23.94,2.45,0.0,62.25,18.87,17.17,32.53,94.73
2020,39,22.47,2.35,0.0,56.19,22.62,15.23,31.31,94.77
2020,40,23.91,1.53,0.0,53.44,23.37,14.6,33.03,94.73
2020,41,25.42,3.32,0.0,54.75,20.07,20.01,31.98,94.76
2020,42,25.5,3.7,0.0,52.44,22.67,18.73,33.22,94.8
2020,43,25.26,3.36,0.0,49.5,22.71,18.26,33.57,94.96
2020,44,25.41,2.61,0.0,45.75,23.39,17.81,34.07,94.89
2020,45,26.08,1.57,0.0,36.56,22.92,17.65,34.75,94.68
2020,46,26.61,0.85,0.0,29.75,23.43,18.25,35.98,94.66
2020,47,25.98,2.16,0.0,31.0,23.83,17.27,35.93,94.74
2020,48,25.9,2.72,0.0,31.56,23.64,16.85,35.8,94.8
2020,49,25.73,2.62,0.0,34.19,22.91,17.14,34.85,94.79
2020,50,26.35,2.04,0.0,33.06,23.77,16.93,35.98,94.69
2020,51,26.47,2.7,0.0,39.5,23.9,18.11,35.75,94.66
2020,52,25.98,3.38,0.0,34.88,24.57,17.79,35.28,94.83
2020,53,25.75,3.52,0.0,37.56,25.18,17.27,35.25,94.95
2020,54,26.01,3.4,0.0,41.88,23.15,17.37,35.31,94.83
2020,55,27.08,2.53,0.0,39.44,24.06,18.37,36.4,94.61
2020,56,27.72,0.88,0.0,32.88,21.55,18.8,36.1,94.5
2020,57,27.74,3.19,0.0,37.06,22.21,20.06,35.64,94.56
2020,58,27.89,2.45,0.0,41.31,20.25,20.72,34.71,94.59
2020,59,28.8,2.2,0.0,40.62,20.22,21.12,35.7,94.46
2020,60,28.73,1.89,1.1,42.88,18.71,22.43,35.08,94.44
2020,61,28.71,1.48,1.17,47.94,20.56,21.93,35.46,94.51
2020,62,28.77,0.89,0.22,45.69,21.19,22.48,35.77,94.56
2020,63,28.6,2.63,0.06,44.69,21.87,22.73,36.15,94.58
2020,64,26.92,2.88,0.0,46.31,23.11,19.58,35.48,94.54
2020,65,25.65,2.89,0.0,54.25,22.87,17.84,34.48,94.43
2020,66,25.29,3.3,0.0,57.25,24.17,18.41,34.01,94.5
2020,67,26.12,2.56,0.0,53.06,23.09,17.74,34.75,94.62
2020,68,27.98,1.95,0.02,50.81,22.88,21.08,35.7,94.59
2020,69,28.54,2.1,0.0,49.38,22.74,21.73,36.3,94.48
