Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,22.34,2.77,0.11,80.0,10.84,17.65,28.73,92.54
2020,2,22.87,2.18,0.01,78.12,14.32,18.18,29.04,92.63
2020,3,23.47,1.93,0.0,75.06,17.89,18.17,30.62,92.54
2020,4,24.11,1.3,0.0,75.75,17.52,19.1,30.8,92.37
2020,5,23.6,2.2,0.01,79.31,12.91,20.01,29.79,92.37
2020,6,22.68,3.27,0.1,78.62,10.83,18.94,28.69,92.57
2020,7,21.98,2.97,0.03,76.94,14.47,17.67,28.48,92.57
2020,8,21.88,2.07,0.01,74.75,18.69,16.84,29.26,92.48
2020,9,21.98,1.84,0.0,72.81,19.36,16.5,30.1,92.47
2020,10,21.08,3.02,0.0,76.31,19.07,16.3,28.14,92.5
2020,11,20.43,2.76,0.0,72.81,17.31,14.7,28.28,92.58
2020,12,20.98,2.59,0.0,74.69,15.25,15.74,28.33,92.51
2020,13,21.48,1.4,0.0,71.56,19.53,16.1,29.72,92.36
2020,14,20.74,1.77,0.0,65.19,20.36,14.4,30.26,92.33
2020,15,19.61,2.34,0.0,66.31,21.78,13.63,28.8,92.4
2020,16,19.98,2.16,0.0,69.12,22.04,13.06,28.83,92.39
2020,17,21.42,2.43,0.0,71.19,21.41,15.05,29.94,92.41
2020,18,22.54,2.96,0.08,76.62,11.01,17.48,29.57,92.42
2020,19,22.77,2.49,0.01,73.5,17.24,18.01,29.73,92.46
2020,20,22.38,2.63,0.0,66.5,21.31,16.77,30.68,92.56
2020,21,21.27,2.87,0.0,64.12,21.92,14.84,30.07,92.63
2020,22,21.49,3.3,0.0,70.25,20.78,15.03,30.15,92.66
2020,23,22.08,2.95,0.0,67.19,21.31,15.83,30.8,92.59
2020,24,21.57,2.53,0.0,59.0,21.28,15.35,30.81,92.58
2020,25,20.98,2.09,0.0,51.69,21.48,13.41,31.11,92.57
2020,26,21.67,1.95,0.0,58.75,21.75,13.12,32.28,92.47
2020,27,22.71,2.06,0.0,58.88,21.39,14.46,32.97,92.4
2020,28,23.49,2.32,0.0,61.88,19.64,15.43,32.62,92.4
2020,29,24.12,2.12,0.0,60.19,20.45,17.27,33.28,92.49
2020,30,24.48,1.73,0.0,58.06,22.07,17.22,33.96,92.43
2020,31,24.26,2.42,0.0,59.75,22.02,17.96,33.26,92.33
2020,32,23.42,3.41,0.0,65.38,20.08,17.98,30.74,92.42
2020,33,22.98,3.55,0.0,63.44,20.68,18.0,30.73,92.61
2020,34,22.83,3.08,0.0,61.38,22.45,16.4,31.33,92.6
2020,35,23.1,3.0,0.0,61.44,21.79,17.27,31.51,92.45
2020,36,23.19,2.76,0.0,60.88,22.84,16.68,31.99,92.49
2020,37,23.42,2.39,0.0,58.19,22.05,15.6,32.8,92.46
2020,38,23.78,2.84,0.0,60.06,20.48,16.95,32.3,92.49
2020,39,24.23,2.51,0.0,60.81,18.84,17.48,32.41,92.48
2020,40,23.37,3.52,0.0,65.31,18.13,18.4,30.7,92.55
2020,41,23.51,3.77,0.0,62.31,21.04,17.88,31.71,92.55
2020,42,23.29,3.98,0.0,61.25,21.62,17.53,31.59,92.59
2020,43,22.69,3.4,0.0,57.88,21.25,15.69,31.48,92.73
2020,44,23.08,2.56,0.0,56.88,22.78,14.17,32.9,92.64
2020,45,23.83,1.78,0.0,51.31,23.02,15.98,33.79,92.43
2020,46,24.02,1.77,0.0,46.31,23.82,15.12,35.1,92.44
2020,47,23.02,2.68,0.0,43.5,23.98,14.0,33.62,92.55
2020,48,22.22,2.53,0.0,44.75,24.66,13.02,33.05,92.61
2020,49,22.88,2.73,0.0,52.75,24.12,13.69,33.24,92.58
2020,50,23.22,2.68,0.0,59.06,22.35,15.94,32.48,92.53
2020,51,23.14,3.08,0.0,53.31,24.62,16.08,33.0,92.5
2020,52,23.26,2.98,0.0,50.94,25.15,15.03,33.98,92.62
2020,53,23.58,3.37,0.0,60.31,24.28,15.93,33.3,92.73
2020,54,24.15,3.27,0.0,56.56,20.85,17.11,33.48,92.62
2020,55,24.55,3.13,0.0,57.0,20.39,17.67,33.66,92.43
2020,56,25.45,2.5,0.0,55.81,23.69,18.21,34.51,92.32
2020,57,25.58,2.91,0.0,58.38,21.27,19.13,33.62,92.37
2020,58,25.34,2.8,0.0,59.5,20.18,19.69,32.4,92.4
2020,59,25.31,3.31,0.0,58.0,18.5,19.47,32.97,92.31
2020,60,25.67,2.91,0.0,55.94,22.8,19.44,33.8,92.27
2020,61,26.12,2.91,0.23,54.12,23.13,19.85,34.24,92.32
2020,62,25.8,1.24,0.05,54.31,18.83,17.96,33.38,92.36
2020,63,27.18,1.59,0.13,49.25,22.71,19.38,35.05,92.35
2020,64,27.39,2.0,0.27,48.44,18.89,21.23,33.37,92.29
2020,65,27.37,2.69,0.29,47.44,17.67,20.58,34.05,92.18
