Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,24.34,2.71,0.0,69.19,16.7,19.69,30.78,95.19
2020,2,24.98,1.43,0.07,68.75,16.18,19.75,31.21,95.27
2020,3,25.11,1.11,0.02,61.5,16.9,19.29,32.58,95.16
2020,4,23.45,1.97,0.0,56.5,18.37,16.4,32.22,95.04
2020,5,23.56,2.11,0.0,58.75,13.31,15.41,31.52,95.05
2020,6,24.05,3.39,0.0,68.62,13.35,18.06,31.14,95.25
2020,7,25.21,2.87,0.01,66.69,13.57,19.76,32.25,95.2
2020,8,25.19,2.0,0.0,64.88,15.65,19.69,32.54,95.07
2020,9,25.7,0.7,0.0,62.25,17.54,18.93,32.68,95.06
2020,10,24.9,3.11,0.0,60.62,16.12,19.55,31.05,95.12
2020,11,24.17,2.58,0.0,62.81,14.9,19.08,31.12,95.25
2020,12,23.39,2.3,0.0,60.62,16.18,18.65,30.59,95.19
2020,13,24.12,0.71,0.0,52.19,19.34,15.8,32.31,94.99
2020,14,23.39,1.38,0.0,52.56,19.79,15.73,32.15,94.94
2020,15,22.56,2.81,0.0,51.0,19.93,15.36,31.87,95.0
2020,16,22.38,1.87,0.0,55.0,20.25,14.89,31.19,95.0
2020,17,23.36,1.48,0.0,53.06,19.13,15.28,32.09,94.99
2020,18,24.55,2.48,1.44,60.38,18.16,17.84,32.61,95.03
2020,19,25.27,1.8,0.0,59.25,18.53,19.24,32.53,95.08
2020,20,25.58,2.4,0.0,52.62,18.92,18.48,33.23,95.14
2020,21,24.82,3.17,0.0,50.12,20.41,18.27,32.76,95.25
2020,22,23.85,3.2,0.0,52.69,21.53,16.57,32.75,95.33
2020,23,24.09,2.73,0.0,51.06,20.98,17.48,33.02,95.25
2020,24,23.95,2.45,0.0,49.0,20.97,16.23,33.3,95.24
2020,25,24.27,2.03,0.0,42.69,20.07,15.46,33.8,95.2
2020,26,25.1,1.74,0.0,42.81,19.92,16.33,34.37,95.08
2020,27,26.0,2.36,0.0,44.5,20.52,17.55,35.3,94.99
2020,28,25.22,2.98,0.0,60.69,18.88,18.68,33.33,95.01
2020,29,24.44,2.35,0.0,52.75,20.26,17.48,33.45,95.15
2020,30,25.2,1.32,0.0,41.75,20.43,16.37,34.51,95.08
2020,31,25.33,1.73,0.0,37.69,20.52,17.14,35.05,94.92
2020,32,25.8,1.55,0.0,51.88,20.13,16.58,34.06,94.98
2020,33,26.58,2.1,0.0,48.75,17.13,21.3,32.79,95.19
2020,34,26.43,2.31,0.0,44.69,19.72,19.26,33.55,95.19
2020,35,25.6,2.06,0.0,44.69,21.63,17.96,33.8,95.03
2020,36,26.18,1.96,0.0,44.31,20.77,18.1,33.91,95.05
2020,37,27.33,2.06,0.0,43.5,20.61,20.61,34.73,95.01
2020,38,25.66,2.37,0.0,50.75,20.23,18.92,33.69,95.09
2020,39,24.36,2.49,0.0,42.0,20.15,16.87,33.23,95.13
2020,40,24.43,2.67,0.0,53.25,19.13,16.23,32.05,95.17
2020,41,25.37,3.61,0.0,55.12,19.61,19.37,32.27,95.22
2020,42,25.47,3.85,0.0,54.75,19.94,19.44,32.58,95.27
2020,43,25.33,3.1,0.0,52.12,20.09,18.77,33.35,95.41
2020,44,25.47,2.48,0.0,45.75,21.3,18.23,33.76,95.32
2020,45,25.51,1.66,0.0,31.56,22.95,16.63,34.64,95.1
2020,46,26.89,1.2,0.0,20.5,23.37,19.33,36.12,95.06
2020,47,25.53,2.27,0.0,27.56,22.91,16.36,35.35,95.17
2020,48,25.77,2.44,0.0,32.81,23.05,16.76,35.5,95.23
2020,49,25.4,2.31,0.0,33.75,22.01,16.8,34.53,95.22
2020,50,25.9,2.16,0.0,34.56,23.23,16.23,35.69,95.12
2020,51,26.18,2.94,0.0,43.38,22.45,17.84,35.14,95.1
2020,52,25.48,3.35,0.0,37.94,24.02,17.44,34.7,95.28
2020,53,25.45,3.39,0.0,41.31,24.17,16.88,34.9,95.39
2020,54,25.68,3.09,0.0,44.69,23.48,17.08,34.76,95.27
2020,55,26.85,2.36,0.0,42.06,23.86,18.18,36.15,95.03
2020,56,27.3,1.3,0.0,35.12,20.59,18.55,35.9,94.9
2020,57,27.12,2.92,0.0,35.69,20.88,19.65,35.06,95.01
2020,58,27.17,2.42,0.0,40.75,19.76,19.98,34.38,95.02
2020,59,27.87,2.57,0.0,43.75,20.1,20.24,35.2,94.9
2020,60,28.16,2.5,0.2,43.5,20.32,21.77,34.59,94.86
2020,61,28.77,2.13,1.24,41.69,21.65,21.76,35.35,94.91
2020,62,27.72,1.72,0.7,44.0,20.38,23.01,34.37,95.0
2020,63,29.14,2.07,0.02,38.12,21.35,22.69,36.25,94.92
2020,64,28.02,2.72,0.0,38.62,20.98,20.35,36.0,94.89
2020,65,26.89,2.8,0.0,45.56,22.61,18.88,34.71,94.78
2020,66,26.39,3.4,0.03,48.69,22.85,18.3,34.51,94.86
2020,67,27.65,2.02,0.0,43.12,19.78,19.1,35.42,94.99
2020,68,29.7,0.96,0.19,41.56,20.65,23.06,36.25,94.95
2020,69,30.33,1.25,0.06,40.62,19.64,23.05,36.84,94.82
2020,70,30.08,2.02,0.0,38.44,22.35,22.33,37.83,94.8
2020,71,29.15,2.27,0.0,46.69,22.06,22.51,36.19,94.87
2020,72,29.14,2.02,0.0,43.19,23.38,22.02,36.37,94.98
2020,73,30.24,1.28,0.0,36.31,25.02,22.1,38.02,94.95
2020,74,30.83,1.7,0.0,30.38,23.77,23.37,38.65,94.85
2020,75,30.58,2.72,0.0,34.12,25.27,22.53,38.57,94.85
2020,76,30.26,2.68,0.0,38.19,25.08,21.91,38.31,94.97
2020,77,30.6,3.05,0.0,36.31,25.42,22.44,38.51,95.06
2020,78,30.65,1.91,0.38,32.31,24.82,22.33,38.01,95.03
2020,79,31.56,1.13,0.01,31.0,23.52,24.36,38.69,94.91
2020,80,30.87,2.65,0.0,23.06,24.67,24.73,38.65,94.89
2020,81,28.88,1.94,0.0,25.38,26.16,19.55,38.09,94.91
2020,82,29.16,1.41,0.0,22.06,25.8,19.29,38.15,94.92
2020,83,30.12,1.44,0.0,32.19,24.25,20.52,38.62,94.84
2020,84,31.19,2.73,0.26,35.38,23.03,23.23,38.8,94.71
2020,85,30.9,2.94,0.4,34.19,24.14,23.28,37.81,94.72
2020,86,30.73,2.95,0.0,34.31,25.21,22.43,38.56,94.8
2020,87,30.34,2.9,0.0,29.5,26.55,22.47,38.74,94.98
2020,88,30.15,3.03,0.0,25.06,26.46,21.26,39.3,94.91
2020,89,30.44,2.53,0.0,24.31,26.58,21.51,39.67,94.78
2020,90,30.37,2.57,0.0,27.62,25.9,21.58,39.1,94.86
2020,91,30.52,2.5,0.0,26.38,26.17,21.76,39.52,94.91
2020,92,31.05,2.09,0.0,28.19,25.18,22.4,39.56,94.86
2020,93,32.67,1.86,0.0,26.44,24.72,24.74,40.78,94.69
2020,94,33.26,2.41,0.0,32.31,23.29,26.9,40.26,94.74
2020,95,32.81,2.56,0.02,30.19,23.66,25.8,39.94,94.84
2020,96,31.96,2.16,0.78,34.0,23.15,23.58,39.45,94.94
2020,97,32.01,1.13,1.04,40.62,22.0,25.33,37.9,94.94
2020,98,30.23,1.7,24.64,49.44,18.83,24.59,36.23,94.89
2020,99,27.13,2.0,27.66,65.69,25.32,22.34,32.69,94.97
2020,100,27.62,2.13,1.79,49.06,26.04,18.73,35.26,94.91
2020,101,28.3,2.2,0.07,56.0,24.02,21.23,36.02,94.95
2020,102,28.15,2.62,0.01,52.06,27.26,21.73,35.09,95.11
2020,103,29.26,2.28,0.0,48.62,25.56,21.65,37.47,95.01
2020,104,29.67,2.16,0.0,47.62,25.68,22.11,37.75,94.87
