Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,23.07,1.69,0.05,77.12,14.98,19.33,28.24,93.35
2020,2,24.28,1.68,0.0,73.5,15.61,19.21,31.16,93.42
2020,3,24.58,1.36,0.0,73.25,16.67,18.79,31.3,93.35
2020,4,25.4,0.87,0.0,69.44,17.63,19.98,32.2,93.18
2020,5,24.78,1.47,0.0,71.0,17.82,19.14,31.38,93.16
2020,6,24.44,3.0,0.0,71.0,16.3,20.3,31.22,93.34
2020,7,23.33,2.7,0.0,69.12,19.32,18.14,30.9,93.36
2020,8,23.13,1.59,0.0,67.0,20.55,17.56,31.01,93.29
2020,9,23.12,1.47,0.0,68.69,18.39,16.67,31.18,93.27
2020,10,22.77,2.78,0.0,69.12,20.04,16.58,30.48,93.28
2020,11,22.06,2.59,0.0,63.25,21.87,16.93,30.69,93.37
2020,12,21.96,2.27,0.0,67.88,20.99,16.06,30.39,93.31
2020,13,22.67,1.03,0.0,67.19,19.24,15.61,30.87,93.17
2020,14,22.68,1.45,0.0,64.56,20.71,15.82,31.42,93.13
2020,15,21.58,1.89,0.0,61.12,21.56,14.5,30.84,93.19
2020,16,21.26,1.64,0.0,62.31,20.97,13.65,30.48,93.19
2020,17,22.3,1.88,0.0,62.44,20.16,14.5,31.47,93.2
2020,18,24.19,2.76,0.4,70.31,17.46,17.94,32.05,93.21
2020,19,24.65,2.52,0.55,68.31,18.23,19.5,31.69,93.25
2020,20,24.44,2.52,0.0,60.25,21.19,18.56,32.65,93.34
2020,21,23.39,2.51,0.0,56.12,22.05,16.05,32.6,93.41
2020,22,23.69,3.12,0.0,59.25,21.91,16.39,33.14,93.42
2020,23,24.21,3.12,0.0,60.56,22.14,17.82,33.04,93.37
2020,24,23.65,2.59,0.0,52.69,22.1,16.67,33.4,93.37
2020,25,22.91,1.96,0.0,45.12,23.14,14.04,33.6,93.37
2020,26,23.51,1.8,0.0,43.75,23.16,14.06,33.98,93.28
2020,27,24.64,1.55,0.0,46.38,21.95,16.55,34.2,93.22
2020,28,25.73,1.59,0.0,56.56,20.53,19.15,34.16,93.22
2020,29,25.86,1.34,0.0,49.81,22.25,18.85,34.42,93.3
2020,30,26.37,0.96,0.0,47.75,23.02,18.53,35.23,93.23
2020,31,26.33,1.12,0.0,46.0,22.76,18.21,34.72,93.12
2020,32,25.39,2.99,0.0,53.75,19.73,18.81,32.78,93.2
2020,33,24.79,2.92,0.0,53.0,20.78,18.59,32.52,93.39
2020,34,24.73,2.39,0.0,51.12,22.86,16.93,33.18,93.38
2020,35,24.8,2.51,0.0,51.88,22.47,17.47,33.24,93.24
2020,36,25.3,2.14,0.18,55.56,19.82,18.0,32.86,93.28
2020,37,26.24,1.53,0.01,48.88,19.06,18.23,34.15,93.25
2020,38,26.07,1.97,0.0,53.06,18.12,18.38,34.05,93.29
2020,39,26.78,1.48,0.0,48.0,21.95,20.73,34.6,93.28
2020,40,25.96,2.34,0.1,51.0,20.26,19.61,32.98,93.31
2020,41,26.16,3.33,0.05,53.75,21.33,20.2,33.68,93.31
2020,42,25.79,3.96,0.0,50.56,23.59,19.68,33.86,93.36
2020,43,24.98,3.09,0.0,49.62,22.24,17.31,33.93,93.5
2020,44,25.3,2.41,0.0,45.06,23.13,16.33,35.13,93.44
2020,45,25.69,1.32,0.0,44.5,22.89,16.57,34.87,93.25
2020,46,26.39,1.52,0.0,37.69,23.78,17.55,36.01,93.25
2020,47,25.47,2.47,0.0,34.38,24.36,16.44,35.51,93.33
2020,48,24.36,2.23,0.0,33.56,23.59,14.97,35.44,93.4
2020,49,24.89,2.76,0.0,40.25,25.26,15.05,35.59,93.37
2020,50,25.24,2.35,0.0,45.0,23.59,16.75,34.72,93.31
2020,51,25.05,2.84,0.0,44.56,24.9,16.69,35.31,93.28
2020,52,24.87,2.68,0.0,43.12,24.69,15.48,35.69,93.4
2020,53,25.62,2.86,0.0,50.19,24.64,15.99,35.71,93.49
2020,54,26.28,2.93,0.0,48.12,22.03,19.09,35.48,93.39
2020,55,26.63,2.84,0.0,47.38,19.18,19.63,35.71,93.2
2020,56,26.9,1.87,0.0,44.06,24.32,18.54,35.69,93.12
2020,57,27.75,2.6,0.0,45.75,22.24,19.66,35.58,93.14
2020,58,27.47,2.46,0.0,47.88,19.58,20.2,34.13,93.18
2020,59,27.69,2.83,0.0,48.69,20.82,21.41,34.19,93.08
2020,60,28.05,2.23,0.0,45.31,18.99,20.9,35.09,93.05
2020,61,28.39,2.09,0.47,46.75,21.21,21.59,35.33,93.11
2020,62,25.13,2.18,1.73,59.19,12.83,21.66,29.66,93.23
2020,63,27.72,1.64,0.18,52.44,19.64,20.7,35.44,93.18
2020,64,28.26,1.28,0.29,50.75,18.93,22.37,34.65,93.09
2020,65,28.83,1.84,0.02,47.94,20.52,22.63,35.26,92.99
2020,66,28.41,2.02,0.22,50.38,21.06,22.42,35.45,93.04
2020,67,28.26,1.43,0.63,50.81,19.02,22.45,35.59,93.17
2020,68,29.3,1.13,0.19,46.81,19.87,23.3,36.03,93.13
2020,69,29.92,1.21,0.03,45.0,20.4,23.13,36.48,93.03
2020,70,30.29,2.07,0.0,37.19,22.18,22.78,37.68,93.04
2020,71,29.61,1.84,0.0,39.75,23.32,21.58,37.43,93.07
2020,72,29.2,1.91,0.0,39.19,24.39,22.02,37.29,93.17
2020,73,28.31,2.37,0.0,31.94,25.6,20.69,36.96,93.21
2020,74,28.5,2.41,0.0,36.5,26.25,20.01,37.44,93.11
2020,75,29.01,2.41,0.0,41.38,25.53,20.47,37.84,93.07
2020,76,28.9,2.68,0.0,42.12,24.93,21.18,37.83,93.19
2020,77,28.59,3.16,0.0,41.38,26.61,20.26,37.44,93.31
2020,78,28.17,2.49,0.0,36.0,26.83,18.95,37.51,93.28
