Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,25.62,3.18,0.02,63.88,14.16,20.02,32.61,97.17
2020,2,25.65,2.31,0.57,69.38,14.11,21.41,31.19,97.24
2020,3,26.89,1.49,1.37,62.88,16.11,20.93,33.61,97.09
2020,4,27.12,1.2,0.01,54.56,14.82,21.21,34.47,96.93
2020,5,25.34,2.95,0.0,62.44,15.73,21.38,31.4,97.05
2020,6,24.69,3.55,0.03,65.31,12.33,18.26,32.33,97.24
2020,7,26.15,3.36,0.02,66.0,14.44,20.5,33.51,97.17
2020,8,25.87,2.81,0.0,63.12,12.14,20.65,32.77,97.04
2020,9,26.05,1.98,0.0,60.44,16.78,19.72,33.16,97.03
2020,10,25.33,3.3,0.0,61.69,14.81,20.28,31.48,97.12
2020,11,24.93,2.46,0.0,60.25,16.46,19.87,32.01,97.24
2020,12,23.55,1.95,0.0,55.31,17.7,17.48,31.53,97.15
2020,13,24.01,1.16,0.0,52.5,18.58,16.12,32.94,96.95
2020,14,23.51,2.25,0.0,52.31,19.28,15.5,32.67,96.92
2020,15,23.46,3.34,0.0,56.5,19.25,16.35,32.58,96.99
2020,16,23.23,2.53,0.0,56.06,19.8,15.9,31.95,96.98
2020,17,24.55,2.9,0.0,55.5,18.47,16.87,32.83,96.98
2020,18,25.69,2.96,0.01,61.75,18.37,19.68,33.26,97.01
2020,19,26.15,1.87,0.0,57.38,18.8,20.21,33.01,97.06
2020,20,26.48,2.72,0.0,55.0,18.64,19.65,33.82,97.13
2020,21,25.56,3.43,0.0,53.19,19.96,19.05,33.54,97.25
2020,22,24.91,3.17,0.0,55.62,20.99,17.15,33.69,97.32
2020,23,24.83,2.32,0.0,53.31,20.44,17.37,33.79,97.23
2020,24,24.89,2.22,0.0,50.5,19.83,17.04,34.19,97.21
2020,25,25.13,1.88,0.0,46.56,19.59,16.63,34.48,97.16
2020,26,25.88,1.88,0.0,47.81,19.67,17.37,34.65,97.04
2020,27,26.58,2.19,0.0,41.88,20.02,18.1,35.94,96.93
2020,28,26.66,1.94,0.0,46.75,19.15,18.97,34.62,96.91
2020,29,27.3,1.85,0.0,41.94,19.93,21.33,34.48,97.06
2020,30,26.46,1.55,0.01,36.0,19.51,18.64,35.15,97.01
2020,31,26.61,2.27,0.0,51.38,19.9,18.87,35.13,96.86
2020,32,27.28,3.13,0.0,53.38,19.62,20.39,34.83,96.93
2020,33,27.07,3.05,0.0,54.94,17.18,21.83,33.62,97.18
2020,34,26.73,2.83,0.0,50.0,19.09,19.76,33.94,97.18
2020,35,25.99,2.7,0.0,50.06,20.75,19.04,34.22,97.0
2020,36,26.56,2.16,0.0,50.19,20.52,18.85,34.08,97.03
2020,37,28.09,3.16,0.0,41.5,20.06,21.01,35.62,96.95
2020,38,28.41,2.05,0.0,44.44,20.69,20.82,35.3,96.99
2020,39,27.92,1.73,0.05,43.38,17.66,21.57,33.94,97.04
2020,40,26.12,4.01,0.18,58.5,16.01,21.37,32.17,97.19
2020,41,26.03,3.77,0.01,58.75,18.23,19.52,32.91,97.22
2020,42,26.09,3.71,0.0,58.88,17.23,20.01,32.95,97.26
2020,43,26.43,2.8,0.0,53.94,19.12,19.51,34.07,97.38
2020,44,26.12,2.27,0.0,43.75,20.73,18.92,34.88,97.27
2020,45,26.15,1.51,0.0,25.88,22.31,17.24,35.8,97.04
2020,46,26.61,1.19,0.0,23.06,22.73,17.4,36.66,97.01
2020,47,26.23,2.41,0.0,37.0,22.45,16.82,36.12,97.12
2020,48,26.48,2.12,0.0,38.88,22.47,17.31,36.34,97.19
2020,49,26.12,2.14,0.0,31.25,22.29,16.96,35.76,97.17
2020,50,26.25,2.21,0.0,43.44,22.76,16.89,35.74,97.09
2020,51,26.43,3.13,0.0,50.81,21.94,18.3,35.42,97.08
2020,52,25.85,3.3,0.0,44.94,23.59,17.26,35.23,97.26
2020,53,26.05,3.23,0.0,47.44,23.9,16.76,35.83,97.37
2020,54,26.41,3.18,0.0,48.38,23.54,17.78,35.37,97.24
2020,55,27.63,2.18,0.0,45.88,23.13,18.8,36.77,96.97
2020,56,27.71,2.07,0.0,48.12,21.17,20.78,35.44,96.86
2020,57,27.67,2.42,0.0,37.31,20.11,19.97,35.51,96.96
2020,58,27.43,2.3,0.0,39.94,19.81,20.19,35.49,96.99
2020,59,28.15,2.49,0.0,49.5,20.03,20.31,35.55,96.87
2020,60,28.5,2.39,0.0,47.25,20.99,22.19,35.13,96.83
2020,61,29.19,2.51,0.33,45.69,21.53,21.51,36.35,96.86
2020,62,28.54,1.22,1.85,43.81,19.98,22.98,35.07,96.95
2020,63,29.94,1.45,0.0,38.5,21.85,21.6,37.03,96.82
2020,64,30.47,1.77,0.0,31.06,21.27,24.07,36.87,96.78
2020,65,29.69,1.64,0.02,30.94,23.21,21.19,37.09,96.65
2020,66,29.14,2.48,0.28,37.06,22.94,22.85,35.37,96.76
2020,67,29.39,1.77,0.12,42.75,21.22,22.94,36.31,96.92
2020,68,29.65,1.78,1.1,48.19,19.88,23.59,35.94,96.9
2020,69,30.9,2.35,0.11,45.25,17.88,25.23,36.65,96.75
2020,70,30.95,2.23,0.0,40.44,21.66,22.8,38.4,96.69
2020,71,31.1,1.16,0.03,39.69,22.64,24.4,37.47,96.76
2020,72,31.91,1.59,0.02,34.81,24.3,25.46,37.94,96.86
2020,73,30.78,3.87,0.0,35.81,24.74,23.44,38.83,96.88
2020,74,30.21,2.45,0.0,40.94,21.62,22.7,38.51,96.82
2020,75,29.72,2.5,0.0,44.44,24.93,21.61,38.23,96.83
2020,76,29.74,2.2,0.0,44.62,24.92,22.12,38.15,96.94
2020,77,30.57,3.12,0.0,41.94,25.55,22.23,39.27,97.02
2020,78,30.7,1.91,0.0,33.75,25.55,21.95,39.23,96.97
2020,79,31.61,1.41,0.68,33.94,22.55,23.12,39.37,96.83
2020,80,32.27,1.77,0.26,28.06,23.94,24.8,39.57,96.76
