Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,22.63,1.55,0.0,79.88,16.71,17.76,27.97,93.9
2020,2,23.32,0.91,0.0,78.31,16.89,17.8,29.52,93.99
2020,3,22.96,1.14,0.0,80.0,17.71,18.12,29.3,93.94
2020,4,21.85,1.31,0.0,79.75,20.21,17.34,28.75,93.81
2020,5,22.31,1.24,0.0,74.12,19.72,16.18,29.43,93.75
2020,6,23.36,2.7,0.0,77.56,16.88,18.52,29.47,93.89
2020,7,23.65,1.94,0.0,71.69,18.74,18.73,29.86,93.88
2020,8,22.65,1.48,0.0,76.75,19.1,16.73,29.51,93.82
2020,9,23.46,0.83,0.0,78.44,17.42,18.73,30.01,93.83
2020,10,23.44,2.03,0.0,72.5,17.1,17.49,30.06,93.8
2020,11,22.31,2.34,0.0,72.69,20.96,16.87,29.34,93.91
2020,12,21.55,2.2,0.0,69.44,20.81,16.23,28.87,93.87
2020,13,21.62,1.26,0.0,73.44,20.46,14.99,29.58,93.74
2020,14,22.15,0.55,0.0,71.5,20.54,15.81,29.66,93.68
2020,15,21.62,1.48,0.0,71.75,20.68,14.65,29.84,93.69
2020,16,20.61,1.22,0.0,71.88,18.32,13.45,28.8,93.72
2020,17,21.36,0.94,0.06,75.25,18.64,15.46,29.08,93.75
2020,18,22.58,1.5,0.1,71.31,21.37,15.53,30.37,93.74
2020,19,23.58,1.16,0.0,71.12,18.9,16.85,30.61,93.78
2020,20,23.86,1.76,0.0,64.06,19.86,18.04,31.19,93.86
2020,21,22.83,2.3,0.0,59.0,21.13,16.73,30.82,93.94
2020,22,22.15,2.74,0.0,59.75,22.19,15.03,31.14,93.97
2020,23,22.97,2.53,0.0,59.81,22.49,16.79,31.58,93.91
2020,24,22.41,2.36,0.0,56.44,22.73,16.01,31.16,93.93
2020,25,22.46,1.89,0.0,51.88,22.66,14.73,31.59,93.92
2020,26,22.98,1.35,0.0,53.12,22.61,14.88,31.89,93.82
2020,27,22.88,1.91,0.0,68.25,21.34,16.19,31.65,93.8
2020,28,22.4,1.94,0.0,80.69,18.85,18.3,29.27,93.81
2020,29,22.19,1.35,0.0,76.38,22.2,17.47,30.1,93.92
2020,30,22.62,1.09,0.0,73.88,22.97,16.6,31.4,93.87
2020,31,22.44,1.33,0.0,73.44,22.92,16.4,31.3,93.73
2020,32,22.76,1.84,0.0,76.06,19.19,16.75,30.61,93.75
2020,33,23.52,1.41,0.0,71.38,16.68,18.29,30.17,93.94
2020,34,23.9,1.31,0.0,64.12,21.13,17.1,31.49,93.92
2020,35,23.15,1.55,0.0,65.44,21.91,16.3,31.3,93.78
2020,36,23.4,1.52,0.0,67.06,21.22,16.05,31.26,93.82
2020,37,23.19,1.66,0.0,74.62,20.43,18.17,30.33,93.83
2020,38,22.55,1.84,0.0,76.25,18.85,17.79,29.97,93.9
2020,39,20.75,1.83,0.0,73.38,23.29,15.39,28.97,93.94
2020,40,22.3,1.2,0.0,66.81,23.31,14.21,30.89,93.88
2020,41,24.29,2.12,0.0,61.81,21.07,18.8,30.66,93.85
2020,42,24.42,2.78,0.0,55.5,23.72,18.37,32.33,93.88
2020,43,24.08,2.66,0.0,54.25,23.16,17.4,32.46,94.04
2020,44,23.79,2.31,0.0,52.19,23.55,16.3,32.58,94.0
2020,45,24.31,0.96,0.0,49.12,23.1,16.32,32.77,93.82
2020,46,25.01,0.91,0.0,37.94,23.69,17.3,33.94,93.82
2020,47,24.19,1.88,0.0,36.06,24.04,14.6,34.29,93.86
2020,48,24.26,2.34,0.0,37.62,24.64,15.69,34.26,93.93
2020,49,24.29,2.47,0.0,40.81,23.59,15.81,33.93,93.9
