Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,22.87,1.84,0.0,73.31,15.15,19.31,28.16,92.64
2020,2,24.02,1.46,0.0,73.5,15.65,19.59,30.31,92.69
2020,3,24.44,1.77,0.0,71.56,17.91,19.0,30.87,92.62
2020,4,24.51,0.91,0.0,67.94,18.39,19.66,31.19,92.47
2020,5,23.33,1.79,0.0,71.5,17.34,16.92,31.01,92.48
2020,6,24.05,3.12,0.01,71.0,11.97,19.27,30.95,92.62
2020,7,23.39,2.7,0.03,67.69,14.99,18.37,30.73,92.63
2020,8,23.09,1.72,0.02,65.88,20.09,17.44,30.64,92.55
2020,9,23.15,1.54,0.0,68.69,19.3,16.62,30.8,92.54
2020,10,22.83,2.91,0.0,68.5,18.93,16.87,30.38,92.54
2020,11,21.9,2.87,0.0,66.88,20.52,16.3,29.86,92.65
2020,12,21.67,2.55,0.0,67.69,18.12,15.91,29.64,92.6
2020,13,22.14,1.19,0.0,65.69,19.54,15.45,30.53,92.45
2020,14,22.19,2.03,0.0,62.12,21.31,15.58,31.08,92.4
2020,15,21.33,2.31,0.0,57.56,21.86,14.28,31.0,92.44
2020,16,21.05,2.12,0.0,60.56,21.44,13.82,30.39,92.45
2020,17,22.14,2.67,0.0,60.81,19.5,15.0,31.31,92.46
2020,18,23.84,2.62,0.0,65.0,18.02,17.43,32.23,92.48
2020,19,24.44,2.22,0.0,63.06,19.58,18.42,31.82,92.52
2020,20,24.26,2.72,0.0,56.31,21.21,18.17,32.64,92.6
2020,21,23.15,2.97,0.0,52.31,22.32,16.0,32.3,92.68
2020,22,23.15,2.98,0.0,57.0,22.23,15.06,33.01,92.71
2020,23,23.9,2.8,0.0,52.44,22.48,16.98,33.27,92.65
2020,24,23.21,2.8,0.0,49.31,21.86,15.89,31.98,92.67
2020,25,22.75,2.52,0.0,46.12,21.67,13.72,32.65,92.65
2020,26,23.61,2.63,0.0,44.69,22.18,14.58,33.62,92.55
2020,27,24.76,1.86,0.0,43.88,21.27,15.87,34.42,92.47
2020,28,25.14,1.89,0.0,57.38,18.96,17.65,33.69,92.47
2020,29,25.76,0.88,0.0,51.38,21.02,17.85,33.72,92.57
2020,30,25.93,1.23,0.0,43.81,22.0,18.27,34.57,92.51
2020,31,25.57,0.71,0.0,41.56,22.44,17.8,34.37,92.39
2020,32,25.33,3.01,0.0,50.69,21.27,18.14,33.14,92.45
2020,33,24.79,2.95,0.0,52.81,19.75,18.51,31.83,92.65
2020,34,24.8,2.82,0.0,48.56,22.41,17.19,33.43,92.63
2020,35,24.62,2.55,0.0,49.94,23.36,17.44,33.33,92.49
2020,36,25.24,2.46,0.0,51.19,22.09,17.44,33.03,92.53
2020,37,25.83,1.94,0.0,49.12,20.63,18.19,32.98,92.51
2020,38,25.7,2.47,0.0,50.38,19.43,18.1,33.73,92.55
2020,39,25.26,1.72,0.0,50.0,22.08,19.37,33.88,92.56
2020,40,24.72,2.34,0.0,53.19,19.63,17.57,31.98,92.6
2020,41,25.37,3.15,0.0,51.38,22.23,19.65,32.68,92.6
2020,42,25.46,3.72,0.0,48.69,23.72,18.86,33.59,92.63
2020,43,24.48,3.11,0.0,47.88,22.96,16.85,33.62,92.78
2020,44,24.18,2.8,0.0,47.0,22.57,15.65,33.17,92.74
2020,45,24.81,2.12,0.0,42.38,23.37,15.94,34.01,92.53
2020,46,25.32,1.88,0.0,28.62,24.0,16.09,35.42,92.53
2020,47,25.08,2.95,0.0,30.06,23.24,15.93,35.43,92.6
2020,48,24.53,2.9,0.0,31.25,23.06,14.96,35.11,92.67
2020,49,24.62,3.35,0.0,37.81,24.61,15.23,34.68,92.65
2020,50,25.24,2.77,0.0,43.0,23.57,16.23,34.96,92.57
2020,51,25.13,2.85,0.0,41.12,24.64,16.45,35.12,92.54
2020,52,24.62,2.94,0.0,38.25,25.18,14.91,35.17,92.68
2020,53,24.63,2.94,0.0,44.56,25.39,14.94,34.58,92.79
2020,54,25.39,2.46,0.0,42.62,23.01,16.58,35.08,92.67
2020,55,25.81,2.49,0.0,45.12,21.87,17.36,35.73,92.47
2020,56,26.45,2.33,0.0,44.19,23.26,17.98,35.23,92.38
2020,57,27.39,2.94,0.0,45.25,20.71,19.48,35.05,92.42
2020,58,26.84,2.82,0.0,49.88,19.04,20.4,32.98,92.47
2020,59,27.24,3.08,0.0,45.94,20.77,20.02,34.09,92.36
2020,60,27.19,3.05,0.0,45.5,22.43,20.39,34.1,92.33
2020,61,27.89,2.73,0.28,43.38,22.98,21.09,34.82,92.39
2020,62,27.62,1.45,0.04,44.88,16.68,20.95,33.43,92.44
2020,63,28.31,2.05,0.53,47.12,21.84,21.9,35.0,92.44
2020,64,27.55,1.83,0.35,47.81,21.4,20.42,34.02,92.39
2020,65,28.12,1.41,0.22,46.5,23.13,20.48,34.94,92.26
2020,66,27.67,1.82,0.51,49.38,22.06,20.51,34.61,92.32
2020,67,26.08,1.45,1.51,54.19,18.66,21.28,31.69,92.49
2020,68,28.41,0.95,0.0,48.5,20.45,21.62,35.25,92.43
2020,69,29.65,0.73,0.0,42.94,20.73,22.76,35.87,92.31
2020,70,30.21,1.33,0.0,37.5,22.28,23.14,36.76,92.3
2020,71,29.37,1.65,0.0,38.75,22.83,21.71,36.19,92.34
2020,72,29.38,1.25,0.0,39.75,23.45,22.94,36.93,92.44
2020,73,28.19,2.62,0.0,31.81,26.0,20.29,36.94,92.47
2020,74,28.26,2.55,0.0,36.69,25.98,19.8,37.08,92.37
2020,75,28.81,2.98,0.0,40.75,25.52,20.26,37.62,92.34
2020,76,29.05,3.05,0.0,41.88,26.1,20.58,37.6,92.45
2020,77,28.91,3.55,0.0,37.69,26.92,20.64,37.69,92.56
2020,78,28.19,2.59,0.0,32.5,27.34,19.25,37.51,92.54
2020,79,29.23,1.75,0.0,32.06,25.77,20.31,37.22,92.44
2020,80,30.13,1.99,1.36,32.06,21.06,24.34,36.4,92.41
2020,81,28.2,1.85,0.06,31.06,26.07,20.39,36.4,92.43
2020,82,29.52,1.45,0.0,37.62,24.23,21.37,36.71,92.39
2020,83,30.63,1.14,2.33,35.44,22.38,24.19,37.26,92.32
2020,84,30.13,2.75,1.05,36.19,24.22,23.34,37.34,92.21
2020,85,29.05,3.12,0.02,38.69,23.64,21.2,36.48,92.23
2020,86,29.09,3.41,0.0,37.25,26.21,21.12,37.36,92.28
2020,87,28.25,2.91,0.0,37.31,26.21,19.81,37.24,92.47
2020,88,28.26,3.3,0.0,30.19,26.71,19.32,37.94,92.41
2020,89,28.12,2.92,0.0,26.06,27.58,18.94,37.8,92.3
2020,90,28.4,3.5,0.0,27.12,27.45,19.24,37.88,92.36
2020,91,28.77,3.07,0.0,28.12,27.34,18.98,38.4,92.4
2020,92,29.32,2.91,0.0,31.25,26.69,20.42,38.53,92.37
2020,93,30.67,3.09,0.0,30.81,25.08,22.33,38.67,92.25
2020,94,30.8,3.25,0.0,30.56,24.69,24.1,38.51,92.3
2020,95,29.71,2.66,0.0,29.62,27.01,21.15,38.65,92.39
2020,96,29.91,2.3,0.03,37.25,25.51,21.73,38.12,92.45
2020,97,29.43,1.08,5.17,47.44,22.04,24.34,34.65,92.49
2020,98,25.37,2.37,6.94,64.88,18.31,22.34,30.42,92.48
2020,99,27.64,1.09,0.08,55.44,21.11,19.95,34.69,92.45
2020,100,27.71,1.9,8.46,58.75,23.64,22.42,34.14,92.41
2020,101,27.68,2.62,1.92,55.94,22.39,20.93,35.13,92.45
2020,102,27.31,2.66,0.08,53.94,26.39,20.83,34.36,92.56
2020,103,27.53,2.69,0.08,48.12,26.53,20.64,35.66,92.52
2020,104,28.26,3.45,0.0,40.12,26.5,20.25,37.19,92.37
2020,105,28.31,4.02,0.0,32.44,27.02,19.36,37.76,92.39
2020,106,28.16,3.34,0.0,33.62,26.86,18.76,37.8,92.46
2020,107,29.28,3.04,0.0,38.69,25.52,20.54,37.79,92.34
2020,108,30.5,3.09,0.0,38.31,25.89,22.35,38.38,92.28
2020,109,31.0,3.57,0.0,38.31,24.53,23.37,38.73,92.3
2020,110,30.83,3.57,0.0,37.38,25.21,23.87,38.61,92.27
2020,111,30.29,3.68,0.0,38.88,27.18,22.01,38.65,92.28
2020,112,30.15,2.62,0.0,32.69,27.12,21.55,38.87,92.31
2020,113,30.83,1.91,0.0,38.75,24.15,23.15,37.66,92.27
2020,114,31.0,1.36,4.94,44.94,22.7,25.81,36.62,92.25
2020,115,28.15,1.93,4.61,63.56,17.75,23.55,33.82,92.27
2020,116,27.34,2.2,0.29,66.81,21.19,23.51,31.65,92.26
2020,117,28.59,2.52,0.04,59.25,21.38,23.38,34.73,92.3
2020,118,29.23,2.2,0.64,54.62,24.11,23.62,35.95,92.34
2020,119,29.36,2.06,7.44,55.81,22.74,22.15,37.15,92.28
2020,120,24.9,2.45,24.01,76.75,12.26,22.1,28.26,92.34
2020,121,27.54,1.95,0.03,62.12,24.59,20.89,35.12,92.36
2020,122,28.01,1.47,3.19,63.25,24.11,22.53,33.74,92.35
2020,123,28.76,1.54,0.37,61.31,21.29,22.63,35.65,92.2
2020,124,28.67,1.57,2.06,60.62,23.14,22.09,35.48,92.2
2020,125,29.82,2.07,0.54,54.38,25.41,23.6,36.91,92.29
2020,126,29.63,1.45,0.37,56.19,23.72,23.9,35.1,92.25
2020,127,28.76,1.51,1.68,58.56,22.48,23.23,34.4,92.2
2020,128,27.19,1.33,5.33,72.06,19.38,23.61,31.38,92.28
2020,129,28.3,1.05,1.46,65.38,21.51,23.05,33.74,92.25
2020,130,28.86,1.27,0.07,59.06,25.9,23.6,34.76,92.24
2020,131,28.66,2.89,0.0,53.88,24.12,23.07,35.77,92.27
2020,132,28.62,2.71,0.04,50.75,22.02,22.37,35.36,92.27
2020,133,28.22,2.43,0.09,54.56,22.63,23.5,34.44,92.23
2020,134,29.15,1.52,1.02,51.81,24.61,21.67,36.42,92.13
2020,135,29.52,1.59,0.7,53.94,25.02,23.18,35.77,92.06
2020,136,30.01,1.95,0.08,45.75,24.44,23.73,37.58,91.96
2020,137,29.69,1.83,0.0,46.31,20.11,22.3,36.12,91.93
2020,138,28.4,3.02,4.71,60.5,18.54,23.91,34.46,91.91
2020,139,24.84,4.9,3.57,77.12,18.13,22.59,27.89,91.89
2020,140,27.16,5.13,0.13,66.44,19.37,22.3,34.43,91.83
2020,141,28.15,4.3,0.02,61.44,22.5,22.32,35.64,91.86
2020,142,28.44,3.8,0.07,59.06,24.13,21.55,36.39,91.99
2020,143,29.09,3.1,0.0,53.81,26.04,21.45,37.26,92.04
2020,144,29.79,2.59,0.0,54.25,25.21,22.4,37.54,92.05
2020,145,30.79,2.52,3.76,54.38,24.87,23.44,37.87,92.1
2020,146,28.8,1.98,9.98,65.38,22.02,24.11,34.12,92.2
2020,147,28.01,2.12,5.81,68.56,23.44,23.04,33.83,92.22
2020,148,27.83,2.28,10.36,71.06,22.72,23.23,33.08,92.19
2020,149,27.68,2.44,3.23,69.0,25.38,22.52,33.43,92.11
2020,150,24.31,2.63,17.89,79.19,25.28,22.16,27.9,92.18
2020,151,25.46,1.36,5.34,77.06,19.89,20.82,29.9,92.18
2020,152,26.19,2.39,1.02,75.12,21.17,22.19,31.58,92.17
2020,153,25.06,3.16,6.03,80.81,19.81,22.86,28.26,92.24
2020,154,24.86,3.98,1.58,76.81,22.29,21.73,29.23,92.17
2020,155,24.72,4.32,0.87,78.44,16.32,21.8,28.83,92.09
2020,156,24.5,2.96,0.05,77.88,18.83,21.37,28.85,92.17
2020,157,25.8,3.58,0.23,69.62,21.28,20.5,32.55,92.19
2020,158,25.09,3.62,4.95,71.94,21.42,20.29,31.91,92.17
2020,159,25.8,3.79,0.12,68.38,22.39,20.01,33.08,92.12
2020,160,25.21,4.11,0.02,66.44,24.48,20.78,31.26,92.11
2020,161,25.27,4.05,0.01,62.75,20.05,19.19,32.56,92.11
2020,162,25.29,4.48,3.27,71.44,16.91,20.76,31.5,91.99
2020,163,23.59,4.13,7.97,81.38,13.68,20.71,27.33,91.84
