Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,22.81,0.44,0.0,84.88,18.31,18.61,28.12,97.86
2020,2,23.22,0.39,0.0,86.5,18.64,19.26,28.41,97.99
2020,3,22.23,0.43,0.0,84.69,19.29,18.36,27.18,97.95
2020,4,20.94,0.55,0.0,85.75,20.3,17.36,25.81,97.83
2020,5,20.53,0.48,0.0,81.38,20.07,14.55,26.19,97.76
2020,6,23.45,0.5,0.0,81.56,18.32,18.46,28.69,97.84
2020,7,24.45,0.46,0.0,83.31,19.13,21.39,28.89,97.84
2020,8,24.08,0.38,0.0,86.06,18.22,20.87,28.62,97.8
2020,9,23.49,0.36,0.0,85.31,18.58,19.68,28.19,97.82
2020,10,23.6,0.38,0.0,82.25,18.7,18.84,28.93,97.74
2020,11,23.95,0.48,0.0,76.94,20.12,19.99,28.92,97.84
2020,12,23.37,0.51,0.0,73.12,20.04,19.65,28.09,97.84
2020,13,22.6,0.44,0.0,81.31,20.15,17.9,28.2,97.74
2020,14,22.59,0.42,0.0,83.25,20.07,19.08,27.82,97.7
2020,15,22.38,0.39,0.0,82.19,20.52,18.08,28.13,97.7
2020,16,21.94,0.44,0.01,80.25,19.43,18.23,27.26,97.75
2020,17,20.92,0.43,0.06,78.75,19.6,16.43,26.5,97.79
2020,18,21.7,0.39,0.23,82.25,21.02,16.43,28.54,97.75
2020,19,23.19,0.37,0.0,80.25,20.17,17.96,29.85,97.77
2020,20,23.85,0.41,0.01,78.5,20.64,18.62,30.0,97.82
2020,21,24.55,0.44,0.0,74.81,20.65,20.41,29.8,97.89
2020,22,23.54,0.52,0.0,64.31,22.1,17.96,30.33,97.91
2020,23,23.87,0.52,0.0,65.06,21.53,18.51,30.96,97.84
2020,24,23.96,0.48,0.0,60.75,22.07,17.95,31.07,97.87
2020,25,23.48,0.52,0.0,65.62,21.99,17.42,31.08,97.87
2020,26,23.18,0.48,0.0,68.94,21.93,17.67,30.47,97.81
2020,27,23.98,0.45,0.0,80.25,20.84,20.15,29.64,97.79
2020,28,22.98,0.49,0.0,81.31,18.75,19.15,28.42,97.83
2020,29,22.57,0.48,0.0,78.25,22.07,17.59,29.07,97.94
2020,30,22.54,0.41,0.0,75.44,22.43,17.08,29.51,97.89
2020,31,21.61,0.45,0.0,75.19,22.08,15.46,28.66,97.74
2020,32,21.37,0.5,0.0,77.31,20.98,15.57,28.45,97.79
2020,33,22.47,0.38,0.0,76.5,19.35,17.01,28.92,97.96
2020,34,23.87,0.38,0.0,73.75,21.14,18.5,30.74,97.92
2020,35,23.98,0.41,0.0,74.25,21.75,18.43,30.9,97.78
2020,36,24.06,0.43,0.0,71.44,21.31,19.19,30.74,97.81
2020,37,23.43,0.48,0.0,74.69,21.19,18.79,29.65,97.85
2020,38,22.39,0.5,0.0,75.75,21.13,17.93,28.61,97.93
2020,39,21.15,0.55,0.0,74.31,21.79,15.58,27.47,97.98
2020,40,21.99,0.57,0.0,68.12,23.65,15.78,29.56,97.89
2020,41,24.24,0.48,0.0,71.5,22.1,18.32,31.08,97.82
2020,42,25.57,0.41,0.0,63.88,22.02,19.96,32.78,97.82
2020,43,25.7,0.44,0.0,60.06,22.46,20.27,33.29,97.98
2020,44,25.76,0.45,0.0,57.44,22.88,18.74,34.15,97.94
2020,45,25.69,0.41,0.0,61.81,22.67,19.2,33.73,97.77
2020,46,25.73,0.43,0.0,65.88,22.95,19.23,33.88,97.77
2020,47,25.66,0.41,0.0,59.5,22.87,18.78,34.27,97.81
2020,48,25.38,0.49,0.0,51.94,23.98,17.92,34.5,97.87
