Year,DayOfYear,T2M,WS2M,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M_MAX,PS
2020,1,25.63,3.16,0.05,58.81,14.16,20.14,32.19,96.46
2020,2,25.37,2.02,3.94,67.06,14.11,20.91,30.84,96.56
2020,3,25.32,1.34,1.04,63.56,16.11,20.5,32.19,96.43
2020,4,24.28,1.39,0.0,58.62,14.82,17.02,32.49,96.29
2020,5,23.13,3.0,0.0,63.44,15.73,17.94,29.91,96.41
2020,6,23.84,3.21,0.0,59.31,12.33,16.15,31.62,96.56
2020,7,25.58,2.54,0.0,63.44,14.44,19.22,32.61,96.48
2020,8,26.0,2.41,0.0,62.44,12.14,20.76,32.27,96.34
2020,9,25.8,1.73,0.0,57.62,16.78,19.95,32.29,96.36
2020,10,24.46,2.99,0.0,56.31,14.81,18.56,31.1,96.45
2020,11,23.65,2.48,0.0,53.94,16.46,17.32,31.38,96.58
2020,12,22.9,1.9,0.0,48.19,17.7,15.78,31.65,96.47
2020,13,23.33,1.18,0.0,39.25,18.58,14.68,32.34,96.27
2020,14,23.16,2.12,0.0,43.25,19.28,14.99,32.19,96.22
2020,15,23.31,3.16,0.0,49.94,19.25,16.32,32.39,96.26
2020,16,22.9,2.25,0.0,52.69,19.8,15.87,31.22,96.28
2020,17,23.58,1.79,0.0,51.0,18.47,15.39,31.58,96.29
2020,18,25.04,2.12,0.05,56.38,18.37,17.76,32.48,96.31
2020,19,25.78,1.74,0.0,55.69,18.8,19.69,32.36,96.37
2020,20,26.05,2.01,0.0,50.25,18.64,19.01,32.94,96.43
2020,21,25.82,3.11,0.0,47.56,19.96,19.54,33.26,96.53
2020,22,24.77,3.12,0.0,47.56,20.99,17.51,33.58,96.62
2020,23,24.62,2.53,0.0,47.94,20.44,17.15,33.87,96.54
2020,24,24.88,2.2,0.0,42.06,19.83,16.51,34.35,96.52
2020,25,25.4,1.58,0.0,40.62,19.59,17.06,34.54,96.47
2020,26,25.9,1.48,0.0,38.75,19.67,18.05,34.81,96.36
2020,27,26.69,2.2,0.0,38.5,20.02,17.97,35.44,96.23
2020,28,26.56,2.25,0.0,45.12,19.15,19.51,33.86,96.21
2020,29,25.38,2.68,0.0,45.62,19.93,18.4,33.62,96.4
2020,30,25.49,1.95,0.0,36.94,19.51,17.45,34.4,96.36
2020,31,25.47,2.24,0.0,43.44,19.9,17.03,34.1,96.19
2020,32,26.99,2.45,0.0,43.25,19.62,19.06,34.42,96.23
2020,33,27.33,2.77,0.0,48.06,17.18,22.37,33.08,96.48
2020,34,27.01,2.81,0.0,45.88,19.09,21.1,33.37,96.48
2020,35,26.28,2.49,0.0,46.62,20.75,19.46,33.65,96.31
2020,36,27.19,1.5,0.0,40.25,20.52,20.74,33.52,96.32
2020,37,28.35,2.39,0.0,36.94,20.06,21.98,34.87,96.23
2020,38,27.31,1.9,0.0,36.31,20.69,19.97,34.39,96.3
2020,39,26.23,2.02,0.06,35.0,17.66,18.47,33.84,96.36
2020,40,24.91,4.09,0.12,55.56,16.01,18.98,31.44,96.54
2020,41,25.91,3.52,0.0,54.94,18.23,20.05,32.35,96.54
2020,42,25.98,3.48,0.0,56.38,17.23,20.49,32.42,96.58
2020,43,26.19,2.46,0.0,49.94,19.12,19.39,33.76,96.71
2020,44,25.96,2.38,0.0,36.81,20.73,18.58,34.94,96.6
2020,45,26.29,1.45,0.0,24.94,22.31,16.58,35.92,96.36
2020,46,27.15,1.11,0.0,22.0,22.73,17.4,36.47,96.33
2020,47,26.43,2.18,0.0,28.25,22.45,17.08,36.24,96.44
2020,48,26.87,2.44,0.0,28.25,22.47,17.8,36.78,96.52
2020,49,26.44,2.21,0.0,22.31,22.29,17.49,36.34,96.47
2020,50,26.12,1.75,0.0,25.5,22.76,16.77,35.53,96.4
2020,51,26.48,3.03,0.0,45.56,21.94,18.41,35.4,96.37
2020,52,26.36,3.4,0.0,38.88,23.59,18.44,35.23,96.55
2020,53,26.58,3.27,0.0,38.19,23.9,17.83,36.02,96.66
2020,54,26.52,2.77,0.0,40.12,23.54,18.01,35.65,96.53
2020,55,27.89,1.99,0.0,41.06,23.13,19.33,36.21,96.27
2020,56,28.13,1.62,0.0,28.38,21.17,21.7,35.87,96.18
2020,57,26.7,3.05,0.0,21.25,20.11,18.66,35.4,96.32
2020,58,26.64,2.35,0.0,22.62,19.81,17.74,35.71,96.32
2020,59,27.15,2.08,0.0,31.75,20.03,17.99,35.39,96.19
2020,60,28.3,2.09,0.34,43.69,20.99,21.97,34.26,96.14
2020,61,29.48,1.91,2.42,40.75,21.53,22.33,35.79,96.16
2020,62,28.58,1.33,7.0,46.19,19.98,23.3,34.37,96.25
2020,63,28.69,1.41,0.02,43.69,21.85,21.64,35.56,96.16
2020,64,27.88,2.16,0.0,35.94,21.27,19.74,35.73,96.12
2020,65,27.61,1.75,0.0,30.12,23.21,17.92,35.67,95.99
2020,66,26.63,3.2,0.01,36.94,22.94,18.71,34.97,96.06
2020,67,28.1,1.91,0.01,37.94,21.22,19.04,35.45,96.24
2020,68,30.15,2.03,0.2,43.06,19.88,24.36,35.97,96.21
2020,69,31.22,1.98,0.04,39.94,17.88,25.38,36.96,96.05
2020,70,31.41,2.02,0.0,34.94,21.66,24.4,38.23,96.0
2020,71,30.23,1.95,0.21,40.44,22.64,22.66,36.47,96.09
2020,72,30.08,1.84,0.25,35.38,24.3,22.85,36.58,96.2
2020,73,31.65,2.68,0.0,32.0,24.74,24.55,38.3,96.18
2020,74,31.65,2.23,0.0,30.75,21.62,25.25,38.41,96.12
2020,75,30.62,2.32,0.0,36.56,24.93,22.78,38.08,96.14
2020,76,30.19,2.09,0.01,38.19,24.92,22.8,37.62,96.27
2020,77,30.8,2.55,0.02,34.88,25.55,22.51,38.76,96.32
2020,78,31.21,2.16,0.93,32.31,25.55,24.42,38.48,96.3
2020,79,31.3,0.98,3.41,35.5,22.55,26.36,37.14,96.18
2020,80,30.87,1.27,0.03,30.0,23.94,24.14,38.87,96.11
2020,81,29.23,2.77,0.0,22.31,26.2,20.47,38.53,96.14
2020,82,29.28,2.14,0.0,22.25,25.26,19.44,38.29,96.18
2020,83,30.28,1.66,0.0,29.56,23.42,20.62,38.31,96.1
2020,84,31.6,2.27,0.79,36.69,23.96,23.86,38.67,95.97
2020,85,32.25,3.04,0.12,32.81,24.05,25.26,38.88,95.97
2020,86,31.69,2.84,0.0,34.12,25.34,24.48,38.89,96.07
2020,87,31.33,2.74,0.0,28.94,26.29,23.58,39.54,96.23
2020,88,31.58,1.83,0.16,27.94,26.27,21.76,39.73,96.14
2020,89,32.12,1.67,0.04,25.88,26.17,23.54,40.14,96.02
2020,90,31.82,2.15,0.02,26.88,25.54,23.74,39.65,96.11
2020,91,31.91,2.03,0.03,27.81,25.84,23.26,40.01,96.16
2020,92,32.38,1.39,0.0,27.81,24.44,24.76,39.75,96.11
2020,93,33.97,1.88,0.01,27.25,23.88,26.21,40.98,95.91
2020,94,34.38,3.21,0.06,26.88,23.64,28.21,40.81,95.98
2020,95,32.02,3.2,0.1,32.31,18.83,27.73,36.92,96.18
2020,96,33.11,2.59,0.11,28.94,24.89,26.08,39.95,96.18
2020,97,33.54,1.79,3.18,34.94,21.04,27.33,39.76,96.16
2020,98,32.46,2.57,4.02,39.0,19.02,26.85,39.11,96.06
2020,99,31.01,2.88,0.02,35.75,24.75,23.14,39.48,96.11
2020,100,30.94,2.09,1.16,27.75,24.51,21.37,39.94,96.06
2020,101,31.15,2.83,1.4,41.38,25.07,23.76,38.58,96.2
2020,102,31.76,3.09,0.0,33.38,27.16,24.21,39.17,96.31
2020,103,32.69,2.01,0.0,32.0,25.62,24.84,40.39,96.21
2020,104,33.27,2.25,0.1,30.56,24.82,25.72,40.56,96.07
2020,105,33.65,2.95,0.0,25.06,25.32,26.28,41.19,96.09
2020,106,33.45,2.34,0.0,25.06,25.16,25.25,40.83,96.17
2020,107,33.52,2.25,0.0,25.75,24.28,25.13,40.88,96.03
2020,108,34.32,2.08,0.21,28.75,23.63,26.77,41.33,95.94
2020,109,34.96,2.54,1.16,30.88,23.56,27.81,41.71,96.0
2020,110,34.25,1.73,0.24,33.19,24.35,28.12,40.2,96.02
2020,111,33.83,2.29,2.04,34.0,22.43,28.03,40.31,96.02
2020,112,34.3,2.47,0.63,31.56,24.83,26.04,41.15,95.99
2020,113,35.23,1.2,0.07,27.56,25.36,27.02,42.12,95.84
2020,114,35.68,1.48,0.0,24.88,25.05,26.25,43.34,95.76
2020,115,36.22,1.62,0.05,27.0,24.58,28.56,42.88,95.7
2020,116,34.99,3.63,0.0,29.25,26.11,27.78,42.26,95.78
2020,117,34.74,2.14,0.0,26.88,25.6,27.55,41.9,95.83
2020,118,34.45,2.88,0.0,23.75,26.73,25.5,42.48,95.91
2020,119,33.94,3.55,0.36,40.38,22.12,27.18,40.5,95.99
2020,120,34.24,2.66,0.09,35.5,25.55,27.46,40.72,95.97
2020,121,34.61,1.78,0.01,33.69,24.62,27.83,40.96,96.0
2020,122,35.91,1.48,0.8,29.75,23.32,29.36,42.09,95.93
2020,123,35.9,2.27,1.15,29.69,22.52,29.19,42.36,95.77
2020,124,35.94,2.05,0.36,28.06,23.18,29.05,42.93,95.77
2020,125,36.48,1.54,0.53,29.25,23.75,28.46,43.6,95.83
2020,126,36.63,1.58,0.01,27.69,23.91,29.67,42.24,95.77
2020,127,36.94,2.13,0.23,28.94,23.33,30.92,43.06,95.71
2020,128,35.33,3.7,0.57,36.62,22.41,29.48,41.01,95.84
2020,129,34.27,2.38,18.91,44.19,23.34,29.27,40.13,95.89
2020,130,32.5,1.83,4.6,54.12,23.04,25.93,38.81,95.91
2020,131,31.55,2.52,0.25,52.06,18.82,26.91,36.73,96.03
2020,132,32.39,2.62,0.02,49.44,22.11,26.37,38.76,95.99
2020,133,32.55,1.52,2.31,49.06,23.7,25.81,39.31,95.89
2020,134,32.65,2.54,0.97,48.5,24.96,26.44,39.21,95.81
2020,135,33.25,2.42,0.19,44.81,24.63,26.12,40.23,95.76
2020,136,33.58,1.91,0.4,41.44,24.61,26.85,39.98,95.7
2020,137,33.99,2.25,1.07,42.06,21.44,28.04,39.67,95.64
2020,138,33.05,2.53,0.41,44.62,18.14,28.99,39.04,95.6
2020,139,33.52,3.85,0.06,39.44,20.88,26.44,41.64,95.38
2020,140,34.19,4.64,0.11,30.25,16.65,27.62,41.99,95.29
2020,141,34.69,3.81,0.0,30.06,23.54,26.29,42.81,95.33
2020,142,35.08,4.36,0.0,25.44,25.71,26.97,43.64,95.48
2020,143,35.44,2.37,0.0,22.69,26.85,25.67,43.91,95.55
2020,144,36.6,2.86,0.0,19.81,26.71,28.58,44.49,95.56
2020,145,36.37,1.99,0.0,28.44,25.56,28.74,43.73,95.67
2020,146,37.1,2.38,0.01,29.88,24.08,30.15,43.81,95.72
2020,147,36.68,3.06,0.12,34.81,25.26,31.12,42.31,95.73
2020,148,37.29,3.16,0.0,30.69,25.45,30.21,43.8,95.63
2020,149,37.06,3.85,0.0,27.0,26.54,28.93,44.7,95.54
2020,150,36.0,3.52,6.48,34.12,26.55,28.43,43.89,95.58
2020,151,30.32,1.99,16.06,58.19,18.07,27.4,33.45,95.82
2020,152,28.76,2.69,6.24,70.38,21.43,25.85,33.35,95.9
2020,153,28.23,1.17,14.55,73.0,21.61,25.03,31.73,96.01
2020,154,26.96,1.93,11.5,79.88,22.54,25.19,29.44,95.87
2020,155,27.45,4.86,1.34,72.06,17.57,24.15,31.62,95.67
2020,156,28.46,5.02,1.37,66.06,19.7,23.34,34.65,95.69
2020,157,29.42,4.2,0.9,57.81,23.69,23.08,36.98,95.77
2020,158,28.99,4.21,0.02,58.25,23.34,22.66,35.2,95.75
2020,159,29.67,3.98,0.05,60.19,21.95,23.65,36.47,95.69
2020,160,29.99,4.73,0.0,56.88,21.45,24.15,36.91,95.7
2020,161,30.05,3.81,0.59,51.94,24.42,23.77,36.94,95.68
2020,162,29.52,4.1,7.22,61.5,13.73,24.25,36.39,95.57
2020,163,27.24,3.95,3.25,72.0,10.19,24.05,30.57,95.43
2020,164,26.44,2.8,0.95,75.69,13.03,23.81,29.49,95.33
2020,165,28.15,5.2,0.43,66.75,14.37,22.94,34.89,95.36
2020,166,29.27,5.04,0.8,61.56,17.71,23.34,36.86,95.44
2020,167,29.82,5.38,2.22,62.19,17.71,23.94,36.98,95.41
2020,168,28.23,4.92,14.77,74.44,13.59,24.51,33.61,95.33
2020,169,27.36,4.87,12.66,76.62,18.36,24.18,31.9,95.47
2020,170,27.67,4.84,4.35,73.0,18.38,23.6,33.43,95.62
2020,171,28.22,4.64,2.51,72.19,19.02,23.48,34.58,95.71
2020,172,28.4,4.27,0.62,69.5,20.53,24.05,33.5,95.72
2020,173,28.31,4.16,0.29,69.44,18.91,23.92,33.55,95.63
2020,174,27.11,4.1,1.42,72.62,17.56,24.01,30.87,95.55
2020,175,28.12,3.49,0.14,65.62,22.41,23.15,34.12,95.64
2020,176,29.14,2.74,0.32,62.88,24.71,22.83,35.9,95.66
2020,177,29.29,2.43,8.9,65.81,24.5,23.89,34.79,95.57
2020,178,29.0,2.03,3.34,69.94,22.02,24.56,33.97,95.54
2020,179,27.3,2.26,42.22,81.25,22.51,24.76,30.19,95.59
2020,180,26.0,2.52,25.18,86.62,19.06,24.4,28.4,95.61
2020,181,27.17,1.36,3.74,79.69,20.14,23.26,31.55,95.53
2020,182,26.88,2.0,1.12,78.56,16.77,23.86,30.55,95.49
2020,183,27.32,3.6,2.38,76.25,21.67,23.53,32.5,95.54
2020,184,26.08,4.48,22.8,79.31,19.7,23.0,30.59,95.53
2020,185,25.62,5.19,13.04,79.19,17.44,22.76,30.09,95.47
2020,186,25.37,4.45,2.92,81.06,11.19,22.32,29.08,95.36
2020,187,26.51,5.3,3.19,75.5,14.33,22.16,32.18,95.4
2020,188,26.21,4.29,0.16,77.25,10.83,22.41,30.98,95.43
2020,189,26.41,4.06,3.54,77.81,16.66,22.53,31.8,95.55
2020,190,26.65,3.69,6.47,77.88,19.9,22.3,31.98,95.7
2020,191,26.05,2.7,9.37,80.5,16.1,21.76,29.92,95.66
2020,192,26.78,3.64,5.09,79.0,15.07,22.94,31.64,95.69
2020,193,26.76,3.9,3.99,76.44,19.59,23.01,31.83,95.68
2020,194,26.4,3.31,1.31,75.81,17.9,22.04,31.1,95.68
2020,195,26.74,2.54,1.19,77.0,19.84,23.06,31.42,95.58
2020,196,26.14,2.19,13.24,83.44,14.61,23.65,30.12,95.52
2020,197,24.98,4.68,56.21,86.75,6.9,22.26,28.26,95.37
2020,198,24.84,4.75,10.12,82.81,14.59,21.85,29.06,95.31
2020,199,26.19,3.91,2.13,78.12,17.44,21.38,31.9,95.38
2020,200,26.62,2.61,13.59,80.75,20.81,22.59,31.73,95.59
2020,201,26.27,2.31,22.54,82.75,18.91,23.31,29.87,95.68
2020,202,26.63,2.62,10.77,82.12,17.65,23.23,30.57,95.56
2020,203,26.4,2.04,3.73,84.0,22.47,23.45,29.74,95.65
2020,204,26.37,2.2,2.66,84.38,19.2,23.57,29.81,95.77
2020,205,25.66,0.78,6.1,84.25,5.76,23.15,28.42,95.73
2020,206,25.65,1.54,10.5,83.44,17.39,23.13,29.27,95.77
2020,207,25.29,2.13,1.81,83.75,12.83,22.67,29.06,95.86
2020,208,25.94,3.21,0.39,80.12,21.9,21.93,30.49,95.93
2020,209,26.47,3.17,0.12,80.06,22.48,22.24,30.79,95.86
2020,210,25.48,2.68,6.45,87.44,20.15,23.48,28.12,95.7
2020,211,25.18,2.18,23.74,90.0,20.46,23.22,27.87,95.57
2020,212,26.75,1.49,13.64,82.94,20.03,22.69,30.33,95.56
2020,213,26.31,1.68,11.05,84.38,20.16,23.36,29.31,95.58
2020,214,26.19,2.27,4.38,85.81,18.44,23.58,29.79,95.56
2020,215,26.49,3.11,2.11,83.44,19.78,23.05,31.62,95.5
2020,216,25.3,4.56,7.72,84.75,15.26,22.21,28.84,95.33
2020,217,25.1,5.55,2.56,86.31,14.27,22.41,28.41,95.11
2020,218,25.51,5.7,7.35,86.69,12.22,23.44,28.65,94.92
2020,219,26.91,5.14,2.75,80.06,19.15,23.32,32.72,95.07
2020,220,26.38,3.92,0.64,82.81,16.34,23.2,30.63,95.5
2020,221,26.24,4.09,0.16,81.69,18.17,23.12,30.87,95.62
2020,222,25.83,4.16,4.3,83.44,15.61,22.85,30.15,95.53
2020,223,26.14,4.0,6.53,81.75,9.13,22.8,30.46,95.55
2020,224,26.01,4.36,1.65,82.19,18.63,22.88,30.54,95.69
2020,225,25.14,3.95,2.02,85.5,12.61,22.63,28.5,95.82
2020,226,24.77,4.52,17.49,87.94,5.76,22.55,28.02,95.65
2020,227,24.93,5.14,6.67,85.38,6.48,22.11,28.4,95.51
2020,228,24.54,4.44,13.69,89.25,6.95,22.51,27.22,95.56
2020,229,24.83,4.2,16.55,87.62,6.65,22.67,28.12,95.61
2020,230,25.7,4.06,1.59,83.81,11.6,22.48,29.98,95.55
2020,231,26.05,4.02,2.5,82.75,18.14,22.44,31.13,95.63
2020,232,25.97,3.43,5.11,83.81,15.66,22.09,30.62,95.55
2020,233,25.01,4.03,22.73,88.5,11.1,22.35,28.51,95.51
2020,234,25.25,4.03,1.98,86.0,15.38,22.25,29.53,95.68
2020,235,25.78,3.45,3.15,84.19,18.96,22.39,30.69,95.78
2020,236,26.45,3.11,1.73,82.25,18.97,22.16,31.76,95.77
2020,237,26.28,2.8,1.89,83.31,19.94,22.46,30.87,95.83
2020,238,26.4,2.14,0.23,82.12,21.97,22.58,30.19,95.97
2020,239,26.24,2.11,0.26,82.0,18.42,22.98,29.93,95.96
2020,240,25.65,3.25,3.83,83.62,15.3,22.97,29.65,95.83
2020,241,25.65,2.84,1.72,82.88,19.76,21.65,29.87,95.74
2020,242,25.72,2.91,1.76,83.88,20.57,22.23,30.25,95.76
2020,243,25.82,2.74,0.28,82.94,22.71,22.37,30.35,95.83
2020,244,26.31,2.3,0.0,81.06,22.6,22.23,31.23,95.91
2020,245,25.9,2.19,0.32,84.44,20.79,22.85,29.79,95.9
2020,246,24.51,1.45,2.45,90.88,15.11,22.81,26.03,95.87
2020,247,26.08,1.27,3.06,83.06,21.52,22.42,29.95,95.89
2020,248,26.32,2.36,0.86,83.0,24.0,22.66,30.89,95.85
2020,249,26.62,1.94,0.59,79.94,23.22,22.57,31.95,95.8
2020,250,26.71,1.27,1.03,74.69,24.04,22.82,31.33,95.74
2020,251,27.27,1.05,2.15,76.25,22.19,22.33,31.93,95.78
